V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
1.5755898091942016,1.5163162568921145,0.5826756624467941,2,2.0572883372811543,3.170572643569702,1.4309598206943837,0,0,0,0,0,0,0.17732050120671952,3.535099232225442,3.393373029622865,0.6494126695013652,0,0,0,0,0,0,0,0,0,0,0,0,0
5.220675072285582,5.067327791453316,2.0255622951665533,2.5063482493015967,2.5271853219192932,2.850004977504653,0.012820222016066848,0.24449246373973083,0.22951333306055421,0,0,0,0,0.08505458639605168,1.5407437771856487,1.5884276699346855,2.2300566312055183,0.6701570490054497,0.6895373585764328,1.096333667730641,1.086100298327571,1.0121933887086974,0,0,0,0,0,0,0,0
3,2.9590455503030673,2.293398873181319,2.998595197954046,2.83790797076376,0.027943200201476268,0.5309514926233453,1.2416698428724524,1.1674051544344635,0,0,0.013886099338756158,0.23101015131254166,0.21505769958954238,0,0,0.14429890327343955,2.3383086017009505,2.4426563589695003,3.958853826005178,4.571203217024634,4.349754517675702,1.0652521330993614,1.1684747046863067,0,0.05396703793187015,0.7822844667950757,0.40062223189406737,0.36991771825197045,0
2.745871162660648,2.7328795309090643,2.3485821075067883,0,0.030254721798423312,0.6256371070090588,2.69287074301237,2.2388473928683057,2.094850012562444,0,0,0.04983087479689737,0.7718119263323096,0.7231313895506142,0,0,0,0,0.043888539394043816,0.8019327474091891,3,3.09483927678477,4.475954272056815,5.388662096547192,0,0.26941118195047825,3.6577875937347035,1.8025098892981763,1.7164871001744042,0.5384170227887605
1.7486939755985413,1.701551951671038,0.9828492113442235,0.7341175945742258,0.8290385483192907,2.3939457725146847,4.4203057706862445,3,2.794029709857465,0,0,0,0.031702974275343965,0.4465199529523594,0.42658292082952787,0.23475833174171323,0.4339852064707507,0.42984108965502626,0.6287849066525978,3.226249772661039,3.417511135213639,3.3239896617202835,2.3520295782908,3.8752740135436783,0,0.22742683342999667,2.907503506966016,1.778677105021138,1.8952102308162497,3.119392478911951
1.745450147001576,1.6687787261956888,0.8814798663263529,2.5162330932977324,2.53792926975393,2.7970094154102143,3.183747884640118,2.533593989101185,2.3503551699845837,0,0,0,0.11738183359031644,1.559123371771775,1.537000193954214,1.259772778482007,1.8188494849565207,2.2120991737764855,2.3167356630675795,3.6623277763228628,4.588131176192426,4.466279326703837,2.8249726807967437,0.7362285066148886,0,0.2578794144196233,3.3245844955569632,4.808151387385421,4.841228597882085,4.760953444984654
3.0173563552818945,2.8319632700248287,0.5779153076454707,1.717183638229407,1.6963224729776147,1.6682822738645793,3.15838377147398,1.4607621361266094,1.3953931597917606,0.6962531966053885,0.8958421983495318,0.8517374403777602,0.45716531994236903,0.6528504678025576,0.7391876213018954,1.739697617142679,1.3583056914389946,3.0000000000000004,2.9342635215266855,2.28845739400584,3.2031134270423998,3.184173919315667,2.8475317926552735,1.1320213075143963,0.5850404565393512,0.8882983825425101,4.207433525257049,4.378056239573738,4.4177703816325,4.463656259248862
0,0.12434201429727791,1.7464128100798104,4.236239143005432,3.8828776364279878,0.06398284827073752,0.9760276842495311,3.2275593015403334,3.1873752016936283,2.861455961151844,3.7788609926634034,3.6288142345445795,2.085799031046113,3,2.8637737419029174,1.5263870748401036,2.6400566057450603,2.7935430558006358,2.813582214564815,3.0525703182766484,3.5994147739690106,3.5321165553445644,3.089458188468655,5.678494184777584,2.4234211367693037,2.5759406662192195,4.132754895263349,4.882753213367069,4.44658369623346,0
0,0,0.33476602816448214,3.832913779095028,3.504564438050643,0,0.35573483048439225,4,3.8207876149249547,2.1097703868628868,3.218317635956104,3.105988197064301,2.071481446623988,2.78802564782911,2.790123012165461,3.014357069957611,4.9288051351786475,2.203636085687595,2.2758072192820777,2.90668664064831,1.9999999999999998,1.9632626833899287,1.9904969539760464,5.085476107098057,0,0,0,0,0,0
0,0,0,0,0,0,0.3768480141061239,3.9999999999999996,3.893687954779611,2.998700862347227,4.215496435438744,4.123988867940763,3.1660389145749956,2.2091533732398623,2.1870258636485573,2.3683247370376335,5.584021516542256,3.6024461940094405,3.557299659668564,3.0596978776708093,1.8053485025277054,1.647596832851622,0.5687522886838512,3.676759762433614,0.7462096188316414,0.6642110643025868,0,0,0,0
