V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31
5.343809749626491,7.423436113715663,8.150644436913844,6.503097479586639,6.797323864368236,7.047171648305504,4.702870433885028,4.231343231481405,4.339631605916188,7.093462521500186,6.5617151950986505,6.292610244326236,5.014227550636621,5.243941549721743,5.415554971163695,5.885902112027083,5.603367451305597,5.538649982238562,5.288363132095306,5.637695532218366,5.6762094473048545,3.4676706920079616,4.924672634498276,5.429418295625608,1.490547935457121,6.819105050329694,8.726510125834405,6.5787815753554915,5.215478460581261,4.951200733567692,4.3385184308704385
3.6256010387612894,3.99505649963498,4.625276522294854,4.469061597394516,5.613430368873718,5.9220563417784255,7.215761231365274,6.884123003331718,6.580805811192268,6.4517897074791595,5.919768563002862,5.715598302997868,6.40214147339867,6.180545373846336,6,6,4.360249508136072,3.7043509718162575,3.485752501749007,3.3874234043931635,3.346326403171894,2.970535390549834,3.791285538401976,4.111467607691705,1.7706010867035913,4.100393380239089,5.19878750476396,3.640298458511612,2.2985741511667435,2,6.889222400564214
5.341084422986292,4.991757135537623,5.2707181738706526,4.826195337223208,3.822514220520294,3.484613787830309,5.737338157831799,7.654150684771896,8.153407856377534,5.47321107607184,4.307590378566465,4.361903217770274,5.70321059169159,6.564567851915775,6.699564773676617,5.742104201366391,4.228936802174457,3.7611079019206404,3.2522752255741247,2.457216759941979,2.1772738336684774,1.587157021459541,1.9471003498647144,2.231160867413389,2.607607305292655,4.297207723776435,5.000000000000001,3.0072085236091963,2.004141527639849,2.032127081651659,1.4448251777891432
7.548560527345057,7.412370201200321,7.549953682611214,6.155514050619126,3.906974139016744,3,3.2946542052897287,5.549597843374357,6.7095909901831225,4.723916522782552,3.471225785375344,3.366007076672387,3.7777701093349503,5.865236143313301,7,6.64575075190868,4.473579730822415,3.243000331331187,3.567552641938415,2.6813441140335583,2,1.900318823238913,3.0112055810982303,3.760613896068607,4.419653685911651,6.077426947848316,6.884146572868959,5.077506101996466,5.17663533826945,6.001184650907495,5.4746957378562815
6.359190014161916,5.905986514285816,6.1081015858563,7.1802840400513235,5.403840581289098,3.5071874288756835,2.316311637827271,3.4450665796472206,5,5.101768365199923,4.29925691190538,3.629889271787563,3.279607927880478,4.51370325013183,5.617294216658278,7.59840543783953,7.342823683986724,6.011566571975666,6.221965174783609,5.6998561457848895,5.258022100649045,3.926850386227836,3.5005098071135223,4.986357967867964,5.851582178767923,4.979903849231967,3.6600490010878155,3.096107297845305,2.4962402227327196,5.912099804760745,8.97957226392668
5.839532594629005,5.898522937545339,7.209261519259874,7.9105600993460525,6.151636724641476,4,3.011425261892014,5.047684876910846,7.821997614103184,7.836581676607828,5.846858496115845,4.322496023654564,4.464206015794885,5.361508134447392,7.432845974907791,9.287868512473745,9.582630164020301,9.629205492542049,10.077250830955807,12.066128719206167,12.453138502998403,10.727769072455523,9.874060699106206,7.150598165214544,5.107338697343745,4.537027865474274,6.325253263385751,8.726689743123128,7.3641703210505085,6.999752930237409,8.03262080902028
5.039173406383645,6.244192145871694,9.269291979964372,10.205945322937623,8.522927117792902,5.604436136379287,4,5.277542847536602,6.897090562394407,6.902821444949301,5.122710722296185,3.8382855769888296,4.357839340325281,4.646759316325214,6.949824336360452,9.296355049519729,8.945274914905093,7.948191743114576,7.173978164018462,7.201047598572802,6.779318271444566,6.212127635451614,6.3134193660235916,5.838073439839718,5.000000000000001,4.549852130992792,9.590030736482055,16.60266693364056,14.118533994475698,10.521845018832272,9.93903359541092
4.607120270918383,5.168561927870385,7.342017948614009,9.183754662532507,8.303876244907208,5.5891796098145905,3.4846819346307676,3.2459552724495366,3.5205652332843735,4.42335007852726,4.076300102048666,3.522435618368709,3.3619430979242364,3.07595918465722,4.38086261019534,6.9013829803989,8.171293501774539,8.235413235569222,5.23890376575508,5.754753855356345,6.923702511549258,7.468185753844857,6.588555885045122,5.766278584180114,6.768872113969739,6.772578959014253,7.1575765670263145,7.537813492254722,7.253636870584761,6.272081798764652,4.98384726933568
4.3887848971474765,5.559920146531222,8.532607153346508,10.149750288100483,8.22944540017991,3.963603224716737,3,3.209525031450025,3.777081265720793,4,4.207529469530122,4.4784939916909945,4.267906703706392,4.188709568459628,4.710196968231284,6,6.243361658980552,5.528242535402333,3.4860233822161004,3.8646042144034722,4.674968186247211,4.7255261292277115,3.906379502240095,2.5162093089177016,2.5983812708156164,1.8850518122198459,1.483930115079186,3.2315834290844196,2.825188643826415,2.4022899861857425,2.996040342268315
4.615309727775552,5.491484908347117,8.777728319716228,11.770662367705715,9.673696530257951,4.548433122158984,3.5071199010888012,3.8080813078206774,4.480430049474719,4.56844739547684,4.710020915058675,5.3581352774895885,6.25970001807133,6.110555474540025,5.571211709140497,5.308672258865001,5.617502697860492,6.09801841090844,5.258641773433682,5.385440277234443,4.904412490086515,3.1854914415301177,2.8324432479775994,2.2435483595010433,2.8762116424878457,2.0767488151836195,0.06996582191772856,0.18603047229548475,0.3817054015050533,1.3007509160346895,2.0001568418836086
