V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
1.014279989922446,1.9218851081994295,2.915850671049137,1.564759059564444,1.0376836707872923,2.16741161911754,1.2585722985047048,0.11841107764256639,0,0,0,0,1.156282697092226,2.4169046741040843,3.7886789622203683,4.495972265756592,3.5285431265705327,2.674574650698286,2.1098819032403466,2.5540374456569577,2.7023815955084105,2.7819799953001128,1.757828500328542,1.142280809976633,1.6543264501929467,1.944886655082557,2.431173236330249,2.6132309445898985,1.7433225961775887,0.8282509589480078,0.4476709698349941,0.9542583760100352,2
2.9632651711001388,3.953993681014641,4.907677860319134,3.829501664860034,3.7986554630937914,4.7366279347989435,4.591190979039127,3.5182366699956846,2.61195819247794,2.131927216957253,1.6859778407855823,1.6583383764649757,4.423306496361393,7.007770350766921,5.6478952764336565,5.412688587667425,6.280576776366679,4.8265053284598105,3.0881969096791204,2.7189034867075677,2.6456448760047895,2.6171635675570126,1.4461970706055252,0.5095566971141454,0.6994976456662014,0.914833937443422,1.4537100053391732,1.7816856430747026,1.1803491556968884,0.5818017575034178,0.86284703082193,2.722730138008999,4.163317974465864
2.022454655136249,3.1402604106060923,4.050247291428731,4.510359957166755,4.930233855466435,5,3.5153172114929854,1.2513547494441473,0.4002913216766957,0.36016920056470614,0.3221864732853015,0.8076552255669758,1.3669740768330896,1.6202125405683592,2.991883476264201,4.812003963718791,5.4877737245921,5.4982636497330075,5.3059817180961435,4.746107985906445,3.0627127798858353,2,2.0116303661693067,2.348231843614036,2.5847043493783044,2.176243147762972,2.0695959486890922,2.2101671909636504,1.5203493933648922,1,2.825775554831942,4.901751641491556,5.463241583937579
2.973458287954139,4.148833628825151,4.945666670745356,3.8632491463755056,2.617631526979002,2.2878796850552106,2.1331109274146347,2.375027320951,2.58745971500459,1.0265828771427412,0,1.5781339252070619,1.5344182028175049,0.7933929781947412,0.8406135701420845,2.45172752290401,3.4959315999820992,3.2380431059626646,3.1019909775261802,4.261940988273619,4.454775300830904,4.0497956026718045,3.805037077413264,3.862552223083342,4,4.154390052167581,4.229398151269204,3.840334275182217,3.444026425494976,3.294627122902579,4.565844668381951,4.850714609079853,4.467312478495606
3,2.4478157460175227,2.175257549911561,2.124678074688715,2.614249541426228,2.8999557772194526,2.3203000011177637,2.6387711895460235,3.0000000000000004,1.082214495246281,0,3.4871651216041117,4.6433324041014314,4.157250829802969,2.964849412042926,1.767043372467925,1.5040891084776158,2.302778771829226,2.7204245108569514,2.817899056573911,8.259703753221826,11.112700713340272,6.070795564509989,4.186126544641065,4.638026457361239,3.661101617207054,3.1681239290418644,2.949684367279594,4.228923852715988,5,3.924927512984118,4.127113847882452,4.5286168099638715
5.971834979749797,5.136104041422912,3.8749902927899886,3.847225055742876,5.119332701123336,5.6876148994012254,4.3642341725963405,3.8261469869244498,3.2720830336210653,2.1007645946272087,1.6533227872870735,3.5007623179167426,3.1742531638664233,2.6443021394306117,2.3735325807547647,0.87617547351462155,0.2561231250894607,2.1360294833647395,3,2.7965750800008817,4.7722940769763555,5.89864497572305,3.513069164415889,3.278582935968595,3.7320961656425276,3.8288928182460076,3.819655464516204,2.9653442793800764,3.842728784076579,5.598886574574465,4.043966199123257,4.0279164742738365,4.475453718559146
1.7404936730639406,4.639517225026523,5.866819319712446,1.8498288643820895,1.1688706061079726,1.5410616362702378,0.7983815926766415,0.5436789983392699,2.337394135262267,1.6700386473385158,1.1774200291230676,4.984630624826806,4.935235250707066,4.343458149257196,2.632582721347251,1.6424800953990204,0.4059784915406037,1.1235231763229292,1.5754608571643474,2.61752881380724,2.771009182890215,2.6710370525202443,3.1350709328069306,4.482154865819316,4.88963268064285,5.406966673104658,5.602478469185508,4.133005163248443,3.465733213228999,4.3967913695532985,4.219587624758439,3.2215197045255373,2.959048128157965
1.7525107313417192,4.326189094446938,5.070675642891518,1.191404374056264,1.4563140101166732,1.8877038960417596,2.4467176823459056,2.5799924688224296,2.243644422965607,3.8249781105093623,4.273994926660015,5.117627951427374,3.8838264517494587,3.445854007722902,4.100079685627101,3.673071412523861,3.0655511775419546,3.1013759247194854,3.124577130199128,3.019292953594125,6.662442339662059,7.668729587482895,4.32295791355531,3.915041222967483,6.529940172284687,5.340038751874262,4.803189399932945,5.0914687148370525,3.4924490229345775,3.000000000000001,3.7704840295878106,2.0501551267693765,1.4835942265813136
3.1270933085399575,0.8101741116711625,0.37380380945600655,4.504886616911797,3.3739626726693253,2.8836203030283247,4.381900762098129,4.711829824866462,3.1938710659880987,1.9048119379636856,1.7423292959117003,2.4456508470625993,4.205380974000094,4.54598691871082,3.6786822101567695,3.3029368540728656,3.268357737172839,5.0273521730746245,5.408230730847756,5.129713796384781,5.2194276834655575,5.359798909547944,2.93724441699476,2.3645598928631815,5.4265613507238495,4.40989567451303,4,4.209532026353839,3.2440921096615214,3,3.374015542481758,1.891046814457045,1.5123357939266981
3.1494226077503016,3.629658198814647,3.6846172114573355,2.558472261538578,5.195516196399267,5.638610681073974,5.088794244841225,5.000000000000001,4.010531741109707,4.928429827776558,5.051684019669109,1.0846913626178698,1.6568379777528583,1.924343575836002,1.5621125425253002,1.5173209213152217,2.165127097523238,4.23550592192661,4.599922925062311,4.627424473828484,3.816925805060304,3.6588105537497673,2.2413483199783943,2,1.9246496193836522,2.6733123786516364,2.819480977590688,2.977635228333753,3,2.9999999999999996,2.084847978550657,1.5476408541119069,1.0573387680470314
3.0058857970876316,3.061679471396608,3.0829304485956692,2.116766804901622,2.3956375039294575,4.845428733613654,3.4744717062026877,3.304499382013253,0.9471234821262443,1.0414181128989188,1.1624633075902113,0.1316340339184851,1.5908080594546508,1.7648349362184883,0.40727723011158246,0.26273861948959315,3.113450462395852,2.668720723985867,2.608076214231108,3.856892473766958,5.795283165392834,5.964206262181299,2.410212520879586,2,1.8573637186394631,1.9791150142267044,2,3.4089371858371846,1.555780930003738,1.364534612143275,1.5184334648585849,1.5178411860751355,0.1556005087091353
1.1787122717993819,1.1462546783330132,1.1740300326176052,0.2656354540751551,0.2295320673400123,5.513688946667107,3.9848000611032113,3.843668282732743,2.5746022853524173,1.6837560791678645,1.604351220899981,0.09978320439439538,0.42238982660964763,1.1912126663912188,1.478740120923067,1.4663668102294802,3.164730861786884,3.4039400940397644,3.3837708633139716,4.595295271620963,4.985386149569016,5.04801858701104,1.595666140327059,1.3767822732348525,2.899797263000914,2.062171651937277,2.0000000000000004,1.7432518918089763,1.6714854289408758,1.6232525913885918,1.4793481703961313,1.4862287446524047,1.0310066425755904
1.9580394615625967,0.1165539355783717,0.0910994002303121,2.6302767865513452,2.6434517994271447,2.5323508521387033,6.476424736825568,6.518759320341478,4.689864257060546,0.46523269535319595,0.4038094218768501,0.0090054046409206,0,3.202099909661912,3.4804464596629554,3.458211226307744,4.410045035823837,4.008290683850471,4,4.319272568485822,4.006929636651546,3.366568197489187,1.6680423604085886,1.619143966460824,3.565098870019668,2.0320066321219317,2,0.5930493131270947,2.4114930268704127,2.4629865519126417,0.5162353787138764,0.49029849233033707,4.4021015465253015
2.8899437366660305,0.9187030584426836,0.9109150249118491,1.2181242951119697,1.280758563836832,2.877848582783311,3.6025964746728736,3.6688447823102965,4.123908950121804,1.6156738321384674,1.6051121471466974,2.3406044946502425,2.3193346163475206,3.2474014723001683,3.2611907897630226,3.3593645864577923,7.06586820958115,3.9999999999999996,3.9999999999999996,3.9999999999999996,3.978214885409893,3.03425365038656,4.515146797648075,4.43674930366716,3.367982835574085,2,1.9780108548372317,1.009685188869287,1.4775102541739178,2.4887376349112147,0.5192833565133741,0.5711800348345055,3.510919887077387
2.0623357182353295,1.8560850255505947,1.057636464260628,1.8868543448621466,1.945082378073386,3.054954428925279,3.8452688983896555,3.789030996692846,3.1590831088948033,2.803756455088161,2.8538803203311383,3.7761220503890116,3.811061752293595,4.3055896271841965,1.5305374401549514,1.739522847514202,4.389207789110915,3.306586486320113,3.320342851836772,3.3340911057021767,3.409017072424774,4.387110493351707,6,5.808025394449529,2.9742260844033126,2.5835897164263506,2.4693891404216455,0.9999999999999999,1.197592227328217,3.997382752410561,3.060853897741722,2.845720876718165,0.5817582765552708
4.7732838289643436,4.7220609536066585,4.597613208053392,4.64831306304203,4.435508678691289,3.0154410326884356,3.158812900890361,3.1542770122452906,3,3.0850868926100605,3.8086349223847558,4,4.106322337115704,4.733074362855131,2.461307066124951,2.4177431956421094,2.371588147948487,3.0000000000000004,3.0717377797053578,3.6618336705696857,3.791596618084916,4.904154927357116,4.1380827321965254,3.989722933658351,2.4067834079114405,2.3590146343104292,1.8362635333219492,1.5521436820818173,1.7342113772939531,3.314316396551102,2.444281122910171,2.510407596526907,2.6669553488642053
4.079656724265665,4.093549966678573,4.107435098285374,4.1213121190860695,3.965894812604598,3,3,2.8773669070938754,2.190575560475097,2.945392297678422,6.6617872011301795,4,4.260842122080838,5.553119400592765,4.4531519393566334,4.277039696057649,3.4427459782233507,4.092195621837849,6.605604626194925,7.9465517810451605,7.15271916676973,2.9060293013139145,1.766868881782504,1.7354408884299122,1.6727185898416055,3.0880057321854717,2.666975447906165,2.548072663043524,2.3762085548594505,1.2603783886024749,0,0.6645861188141446,4.343872186248512
3.0837412077140884,2.9244250306626656,2.0525679605699794,1.3761852264002246,1.3910935631359025,1.3062475360312205,1.3339518969424566,1.640698986082376,2.805344022369765,3.9393289005872,8.012796304502675,4.7638848081479095,4.988907539483474,5.527741502287998,3.5550028205028763,3.526969581755493,3.305051669083993,3.562018375760253,5.044125650419073,6.73158113440746,6.129637031526732,3.1812479967735863,2.8374766366320814,2.7963337405537447,2.9920174217441273,4.108658806474983,4.473595925679423,4.088003654217365,3.5799358488736504,1.3267399586920194,0.5030049265787973,1.3454903800882383,4.250236767589285
3.9121744926500046,4.295885050235068,4.888347904597732,2.7410443038585846,2.3119297476549727,0.8026471232181602,0.1710571967434296,0.4621141382387725,1.3974724223611241,2.6435555398233146,5.925315531004405,3.4803878110225197,3.0448359851765017,1.7610019119580274,2.2815786066981403,2.2953572863267016,2.309127855543081,2.480627441555857,2.847843392894304,2.401563602389479,2.8156441717309377,3.4212071307369833,1.566323805734002,2.174013337001906,4,3.968742364620963,4.149796098719814,4.999999999999999,4.304129672860496,1.8869844136131544,1.4989357767570934,2.074768886238854,3.4448246671310336
