V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28
98.08629034662104,98.44694239880867,97.27474126559417,96.7050903088487,98.61553015115123,99.87940955555791,100,100,100,100.00000000000001,97.44543780781314,96.05395635632523,90.92839288927007,72.83769655781364,59.035354487013436,57.093354674009205,57.65713831908799,41.943290646020785,40.77563963771858,63.60897313406579,73.83327904775669,76.0205120817496,86.37265632629085,92.41758568247998,93,94.74263045292696,87.95975592640701,86.96215624093534
95.67436708634435,96.2499588621441,97.60964205856246,98.28418081773538,99.39410748048155,100,100,100,100,90.6587308808029,64.70783419249754,53.357250924571275,56.00380796705032,65.8689527339837,75.07271276245609,74.65696688639147,73.06482997919058,52.8817159784459,38.214540860402735,56.38953989323507,67.34527976356159,77.98028069853348,87.17676706597662,84.38991406186533,81.87202728075087,88.68933654082312,89.02032284442278,88.56857381402338
93.25814505422468,92.34152967236784,95.84817529032316,97.38123775066364,99.07709630089215,98.72893497652795,97.61398335287664,97.3841310873448,90.6091742301037,83.68486243829857,56.77837007866211,43.10750512897792,58.076152048297466,77.43301663627814,91.53178328295255,94.27520124209738,93.40409432917998,87.32528175442665,79.6024094122364,83.28062813502866,86.57724123917833,88.17529259353637,79.90354973301254,71.39963155292054,69.47558893337884,84.28449357673497,91.45834760572899,92.890968075435
96.0261358637362,94.31919108669409,93.35959538707216,93.3898194616348,95.98208948225192,98.40542437973232,92.8160658390819,89.48178174711586,86.2939427608997,89.68620915577222,80.33799684176518,73.74701633097283,80.30045684858887,87.16104335478602,95.8879424302947,99.87718449426106,100,100,98.89839600674091,97.45734307128677,97,94.53754300813074,88.24540193980647,85.94852584735767,86.15916844376129,91.01848484104603,95.7276862431485,97.98700174590238
97.99740011766198,94.15830441506118,91.17347293621445,90.69920023933395,93.2926739210819,95.60751326420518,91.65887905176228,89.24838297945195,89.05370656029662,95.43185716157346,95.83135343202201,94.14001268831593,94.13864370012348,94.39973189615095,98.08112681185243,100,100,100,99.77196702728477,97.93066780049365,97,96.77183780744193,96.42000600929674,95.91188688146215,95.70369884136807,97.12122513209326,99.25840550977254,100
98.01896807629691,93.33593263181642,89.08944284176494,88.05523560138658,89.80973980554356,92.86191515082061,90.37339213529167,88.40987384014976,92.80107922369403,97.04634324825298,98.44039432905889,98.64694702672935,98.2272350091483,97.77082116742082,98.3343474577059,98.28761317196663,98.06076550821537,97.64173183911869,96.1572729514271,94.36889718526609,93.7693041831613,94.18866594281715,97.34952892281103,98.47881789826369,98.23002787918728,99.37823299508275,100,100
97.35325663257626,91.55067607368207,89.1745194833992,89.58443956890838,87.94709834347616,88.63161420821598,92.47965190201953,94.09925323255426,96.21148628757646,97.54322982669811,98.52433653299478,99.00000000000001,98.35105748611235,97.58172636818041,97.7737392743883,94.84238266672173,93.13440008010733,93.32200050185936,93.14872895058573,95.27633345017017,96.50796030142897,97.15643829278751,99.12455717919723,100,100,100,100,100
95.29207136934913,77.26989632277625,75.29399509534355,79.40862714929938,75.74668437648938,84.87041527691702,95.0790287851554,97.3567580514825,98.37787859718594,98.32573292232884,98.64926216861083,99,98.76793435581067,98.82732070898487,97.49135276004215,95.9236212866522,95.49485387987681,96.14331226681102,97.14277164587831,98.88766705695164,99.64184966764643,99.87423394666345,100,100,100,100,100.00000000000001,99.99999999999999
90.5271912831606,60.86156010524546,47.91447318488815,49.25263787419301,53.28304911725159,71.09867959541899,87.54914402518274,91.87122069599783,94.23784614364833,96.71282472155978,98.42503674218347,99.00000000000001,96.50461037813452,96.2235481176304,95.86454819940643,97.0741045563343,98,97.4029496273998,97.72966320424206,98.08071924905485,98.08088446001604,99.32639982706836,100.00000000000001,100,100.00000000000001,98.755214757084,98.91111594933376,99.77530122259017
82.85187741409646,70.51754592394059,59.37697257409715,55.190286332702655,65.71700768863806,71.78151057681512,81.39001841231861,86.44418779617672,86.9687274927537,90.68196695764291,92.17047255201456,91.97794520092616,92.2277860121242,93.66112908821725,95.60527542202702,98.22431124548986,99.2756663245016,97.56268457028314,97.28695775849455,98.4655066190183,98.91268259742554,99.6183763877241,100,91.72685331403288,87.25145406701105,67.9363473489307,69.11536866827787,88.88141715092588
