V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
77.85082403216856,69.21300031632869,66.61921781748742,69.03139587070247,58.71409169520456,65.74800548223826,75.91582227054697,82.55724816531395,89.27509854480711,90.58889583041244,86.49752971784363,79.82338757196028,77.2796022165531,67.92942286919748,69.82615922933145,75.59836241126746,81.49427806618641,82.81242036939773,80.96056508977426,76.27106605212194,64.11389319501939,56.38458640804056,56.63199436822556,59.900459314805786,61.41468018791293,71.88066124153895,87.3447806849462,93.19028143305904,91.56443163596983,83.69030879449092,78.87207620191086,67.34534160019238
78,80.06537417951199,75.61540197885085,70.13750663948034,64.2064253297515,68.01751551701875,75.64225045251911,83.55799719028099,89.39869802780461,88.66568208770052,88.54119093892021,88.51573408293793,88.67459994268977,81.55089649356324,68.6581783432335,62.60927965710326,67.48590099645082,75.93381865461176,79.23542382966463,72.96971915759025,59.79818591036751,52.61876730438112,56.88794502063273,64.01442914375379,67.39123363077064,71.16218301287627,79.60216377266327,83.89649986841309,75.91550185526668,66.378951485853,63.91638633011824,63.466003554729916
80.91271204011626,83.39968104581044,80.6475247898594,75.0472139637318,77.2406378051848,81.15984111121259,83.15277016107784,87.37874067056705,91.49459283052485,91.19066367614488,93.4817604098219,95.28183888413935,94.17833333747629,89.90355616091827,70.64304208164914,54.76482984776721,56.831981768190346,57.40947162056261,55.40576110367747,62.50781550040466,59.282526636739846,47.61018244536277,48.162069312214946,54.40284039448012,59.55569008663067,61.542528599635496,65.18217264626419,66.20825851481735,60.64511995073896,55.217745714828744,55.4986855078356,66.84919710991059
88.73609393090915,88.91052191434623,83.72344124206847,76.98028716736655,73.2320391593296,75.7589056085396,84.6375547430528,82.31030921919262,78.91384423659223,78.24795761739034,84.92623215070617,89.93270116016633,85.8217331307529,87.8388408256832,77.15563140472378,60.938054019307614,63.67687897355181,62.61576480665791,58.09904610343645,65.8410369302926,64.03486857288898,50.424934857952266,49.87385627967933,46.41194854655844,43.95362005788285,51.10801463813609,61.016254946975295,62.22389556830289,58.879222767466786,55.82842591563031,57.48701663751888,71.3819951746475
96.70495732876492,95.6910638465298,86.93388569180418,76.06327552073755,78.09447494291348,81.01181565547128,80.96030506753027,78.92257515072038,74.9436953642672,73.97154145860827,73.40431477907256,75.99587079225115,81.51265461376545,82.1964659034916,84.03656577738253,84.45473395901547,80.74559397641292,75.62121957697315,75.95204737618495,72.9371291294593,64.58048250450543,58.32816464992523,52.61793585075483,46.940803726770966,50.86816844215079,53.13866340307126,58.643845029585066,62.2005852101551,60.060777959363676,58.95041206747098,62.467461802143575,71.85497617139944
79.73389982467842,84.10576902329842,88.51771959076781,79.95229950186786,81.63395372268587,87.87247668294725,93.22362899553201,91.60790458266302,85.74305910854056,79.94209351944835,75.314663637066,65.33108923819384,62.61344987045473,68.35466447871691,81.73285652165397,86.00000000000001,85.267378969575,75.66809486907346,60.234613686867355,58.18247055182804,53.03614514732843,50.27498709293952,52.45147992402396,55.96783732276589,55.46836050304556,56.21999290631364,60.430475903106895,65.43620817362304,67.06687355211052,69.58253878987531,67.93748954537747,72.81050440738497
82.82134442255025,85.8913676038571,87.9682246821275,76.09637878798097,78.67881408665775,83.74657525890538,81.87839570962862,79.66623235659134,72.9873373792787,70.52257803257739,67.34167756264962,58.69651895450255,54.831079192492965,59.17820924855579,74.13563668632898,86.87825838125147,83.75873387322301,68.673273235555655,50.27364352558704,52.09260430622382,57.943104267473565,60.34843636717446,61.83816773193963,63.08368122046581,56.79003101668645,60.829405554684634,71.32347253124864,73.34909154566307,76.57104119477258,81.24035871320447,75.37103917035071,76.83673258902988
97.27166930714276,96.16471497799377,90.97464992385913,87.98134577514642,89.94533020119064,91.84736355798206,80.15775587443434,71.44008501945375,50.86905357412812,61.11339922248096,63.3273219297934,70.60681764895548,72.6131717877728,75.03597615336336,80.98789105626184,88.37867247498461,87.97506977371836,74.50651380095485,43.500584650353325,39.22542329546022,46.9881766196178,50.556490988118945,68.21408895597396,75.53940627503374,73.29891786312189,80.3273951108075,90.43461105296691,87.0738261058264,87.24793731122072,87.31920735777292,81.43511122075199,82.75263130969103
95.15108192585683,91.20212403964736,89.22562471883106,83.20519367331633,87.94652310258996,87.47846485058456,83.17242701737747,72.92938250916112,74.07685302456574,78.3578158679236,77.23484462655877,75.21104778592368,67.7914735318765,71.58858762110118,73.23310577936263,81.72666707833102,87.22944374444262,82.36047368771736,56.41333504303624,29.04115370796268,29.27135966103236,38.79299931272497,80.6856277887787,81.26690131994647,85.28966310373207,95.27737796776775,94.88913123363844,93.70596884115068,93.21131822925658,91.26106524883316,84.11592069770893,88.9739383808447
92.69468582762426,79.4653939481286,79.82516396260102,83.3046232889467,84.8885436977307,84.1131386286766,78.99666151009401,71.19933580955268,71.76319760905346,77.57477174528505,85.76082579058897,86.1266749968408,85.1013850659464,65.86263651889928,68.20100992338953,82.21844803717242,88.45108522509861,88.79543999243198,85.52305226016666,58.12992667111715,58.81381368233853,63.70265826950361,78.36863318727612,77.99553861416726,79.68205515744043,86.76456889051742,87.88216140081408,95.5690071339802,96.43835493402092,94.34226629917003,83.14666093005805,89.04952530006246
93.20805842610412,78.0426743493248,77.93295913516125,77.04683052819468,76.81930448137604,75.59445270514546,66.94408739022826,60.31413368896331,61.96351039731528,76.01114416642673,84.46275977503876,85.75508272763282,93.93883858952144,74.38433468910156,76.48192663646978,90.32815738858501,88.22686657728951,87.7497356228962,83.70014117947974,74.8241906146297,75.67296406938233,81.2280747433017,68.57419524428931,70.53463463994088,84.55908042771318,78.09433711825717,79.08996452229817,88.80849212430705,91.87262204586229,94.58435854373079,77.3059969819099,82.58515242810724
72.43413401199398,55.11757615024388,54.69441767191162,54.546441013323935,58.981563683395045,59.09410282809324,61.88775326464622,64.76427337352055,64.2957215900568,59.38349527857812,86.65848424268431,86.69049944742142,90.94628208934584,95.5058117764911,94.71046713054095,82.06581888310208,83.30644564149004,83.32023752196586,81.63933385301088,79.70827576482424,79.9674897007298,81.34629023667111,80.64797863207438,80.96608727342993,85.53433987556058,74.24554768333502,74.2632474241021,75.46339360121281,82.19872653926956,88.09622294263694,82.9905309407871,78.03214970179306
55.20206266974405,53.05045679979561,53.03289539983155,53.04418003887792,55.975223219044885,55.77435863405265,54.97548863724276,60.504669048894584,60.37866127484381,64.1804893472191,74.16576438267163,73.92514221728442,81.64288423588506,91.71335395635985,91.5356877844408,86.21549354423409,89.283042398968135,89.37496962503856,87.25272970566438,89.6692514535154,89.81160619041809,83.32238146545882,82.64016998299114,82.68848419024238,85.3355245983492,75.23991962650945,75.34214028992362,74.30261209114617,84.11955980255904,84.36361003352309,95.43361369586101,84.20022692558125
57.337620770312405,27.70244374432881,26.03003475234869,34.97021936616136,44.63272403909134,44.9840545647113,52.427912934427766,51.92502057527636,51.86249414706592,53.961130440132536,59.292204773210656,59.608177587712504,72.05676631332359,83.58510320024413,83.95244075213259,86.50024328533384,92.8845551891658,93.08949601091243,94.71681100237257,95.388129850141965,95.31559669084807,89.18370254416826,80.58006646314752,79.99299755724405,78.13122041718539,81.43119430673049,81.71022466998437,81.44791746540068,87.7458547185453,87.91644307466957,89.06417142527857,90.94651507762626
20.924445702219657,25.30051169503701,25.959321685704246,33.33008311749593,43.141299190123796,44.06026099178827,44.73642246861788,49.70707684550554,50.25943123506664,43.95460025684079,61.61770150364204,63.29356890154948,68.53153634446134,76.8480311261162,77.46375111322367,84.82404526242999,89.79305397655375,90.22372522126301,88.64221656839811,87.24095892023449,86.84753173865542,82.09572259655755,76.2759753733896,75.96014770434795,80.90839497050769,82.92615150569667,82.93385204376341,82.6122707805878,78.54449483255172,77.88760315837384,81.91718750544862,89.28172206887947
36.42737876789568,30.54394036780166,29.82172209444566,35.977712066741695,47.3441921769626,48.82049851827715,39.518878479395056,50.81604285760234,52.293039136198395,38.01074073832946,53.14948488632834,55.49548232968766,62.82801715784386,71.13379334124093,72.50193445918228,86.05985833925794,89.39399959862341,89.46122750282962,89.08982442127228,79.78309371168748,78.45635872512605,78.11578483850448,83.1814996209155,84,82.52280223435787,80.14446069018459,79.89681116812538,76.75406909432803,68.73090243330148,67.4038503151913,79.68360742204207,86.79952590081763
