V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31
82.70550190378712,87.2284173556591,87.53328229590092,84.55498071798993,81.44254318404725,78.80735368675789,78.67806012827424,83.40901030661752,61.02537241337908,59.09943365685902,57.71168027549378,61.65787323964264,61.924741145286006,46.66551756749564,38.70358727876774,48.99602229640118,49.982734591003236,58.05093856036096,75.41617459282,77.28915504005097,54.35872843344186,24.572710742057964,21.967076863429718,47.298297734083775,70.87638883792107,71.80109865087752,71.01334939156592,69.45519301111163,65.24304143086222,64.65172925837479,25.710039464802588
71.70118705770787,84.67029973599436,87.52486934671222,81.91148131093333,87.83228658511584,83.97279590086481,83.32837371878654,87.68845727866523,69.93558686083199,67.45517916181336,53.63058764201874,51.32775147488192,51.027192573790906,36.72645096855642,41.64969394884011,55.78959915254569,58.09194484399089,69.46224286581464,85.69901983884674,88.01459976763613,77.32902164468443,50.01901457108058,46.49836024217518,58.03077053072246,68.12708875900259,67.06115034820196,66.60514773053686,57.090342570978,54.30898421228758,53.95576058735581,24.162869381187434
69.51187079477691,79.10563211725352,84.6473172493318,85.38418889479144,93.91131459664334,88.07295611941603,86.65715005908116,84.07113158859904,75.05274044654375,73.38038858030197,53.31769442846275,38.08112326471709,35.1578773902111,30.708501017086455,44.724022635744404,62.92391201707698,65.99683282932324,80.79704494300658,91.89894334718524,93.66095439858057,92.18384754471083,76.51114684888077,73.53909547846037,66.61695865082139,63.78490619195553,56.09649791630066,54.192961579708296,52.66646247979588,52.42062578790966,52.45552421268813,15.733195818519613
69.34030398446022,84.46491201257888,87.88383387155487,87.63339306419873,80.01500315861597,82.1732806422859,83.12414762252209,77.42880332620294,77.2408489503301,77.76868560692033,60.47418949853652,34.496844562458215,30.958664278591982,31.79890426473817,49.82843995910365,61.24030992332689,63.007762720749724,69.34683355233817,80.52235172722013,82.8972417155421,85.83889848790605,83.31734610021218,68.83012243223095,59.09748276649149,46.35262448297625,50.6138576854857,53.03145726968411,50.36739253860484,42.37318327691232,39.96386149404406,14.845131524629549
66.588013717175,81.77614026529032,84.49086121993895,83.46038961785746,68.7966420369296,70.73635625958966,73,70.46147533046583,77.34998996918117,79.89316389324902,72.51491235365167,50.522870404481,41.28521128572814,40.32764193224144,44.154827542781945,54.42853215105683,57.53825324747243,58.56688105404845,65.00939055392774,66.98740568653817,66.64660518862357,63.29093740752234,49.59612206102229,44.99021721691565,46.81827060202077,38.359597636203794,34.28023906628227,24.134269016711727,30.378392416731266,34.279302075945175,37.3608606021243
56.068296967693215,68.85429603810982,78.17900431257951,79.86968647452656,72.37621628176984,72.72181933270761,74.27208401525496,67.79504063616135,65.23991770957986,63.567745109755954,71.94210761257511,63.58891426579859,49.53848093542938,45.95122732778099,46.87841654423738,50.71252804655847,52.03595449223622,54.39033747270996,56.686777484921635,57.1123359291561,60.087391929401036,53.010636731972625,33.81512776864102,26.522601919538268,24.577109965240886,29.91199469794702,33.30789189752735,24.452262103383347,42.71330617408917,53.36348544196207,62.07430056766502
55.12247058280744,58.54660247371896,67.14523883065425,70.32117259541278,65.04885750752031,68.88263456646843,71.96794581071185,67.30390799901099,53.352778851064116,45.73482467321915,53.75678012140531,46.033909371054335,39.259247966162974,38.80590472987656,46.975623019804345,48.63108013917045,47.07507380251515,42.6808238922489,49.10927929452842,52.678204812939825,55.332825910625594,50.223542594352665,33.41233489651482,26.527134929307415,36.161996682193426,44.522891637910035,45.935835846357335,38.875097048813686,61.95941401164777,77.4135941281097,79.2392277114161
77.58478824818953,78.04668315587759,68.20120357916176,62.07406221675548,57.34040760431448,57.14633251056169,58.82309824060435,50.69967375412397,42.1098819406447,45.1539345202882,48.70113327984944,35.59665864609336,23.971181254775438,21.704054773021362,31.785845857321945,41.08726931365571,43.0320715635246,41.50007886898303,43.18691590420493,49.64911676303942,53.21357140691867,42.85035231161663,34.20415364974315,33.21110665066549,48.14009447390731,61.606155521658856,64.47138182063861,59.078512894467366,70.51456952161809,80.44948438254096,80.19985750069335
75.18363091125666,78.90862984888258,74.00616754581871,68.51148472771196,57.23687392461588,50.80533413271915,51.2726097763848,44.6220359831282,42.53581670268271,53.842043733421875,61.01244724954609,51.553421494183425,35.27704423249985,28.569205562298198,25.23424263024811,33.37510130794731,42,50.45276687081006,51.04441111465908,54.36882457810455,60.49867134203862,59.05948865870567,51.7243441755648,46.64254139043275,47.31974114644237,50.44141633644234,57.46484580083335,58.12149273914359,61.61293598157799,65.89080176689684,65.24350720486876
67.78784385396928,71.15412672030999,71.19121288755152,68.48663712204063,58.753902261231694,50.88855576982972,48.20424793499352,45.569681467860065,52.76613031393426,62.0412332848433,64.50785417483269,59.14913471540005,42.76671656685834,31.926158812188405,21.395741166167767,28.20052364992037,48.92626083347045,59.85578472175803,63.56556983885497,65.04897311962526,67.18536645129603,73.32882353379665,68.41069608584033,58.590990591356466,48.08820028898419,40.67160028237171,45.807356529361236,50.03741495380899,64.29692577148546,82.40691218424259,88.81977256331739
