V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02372770044227321,0.21419414841402937,1.0973981741121357,7.242674205983816,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2864390789949909,2.479580405186762,2.638531865808341,3.4983109310045424,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15204981815181506,1.945662358175737,6.957283594773789,6.119789442988527,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745639419840642,5.546663017321544,2.382845689205256,2.0861976306601826,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08072168010685107,1.2906538292727177,5.040220045083322,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5394318990620346,4.01561073260233,3.4491009195789744,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.20081895461981628,1.283374473894477,0.2056850869695849,1.0607029974736546,5.495683322039071,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.1780768451309625,1.2556850489873466,1.9126810169564599,5.236192164689096,0.7971397020674652,0.6840538429688081,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.1527270584635086,1.704276652591348,5.58708800201102,5.002912413876403,1.359742761557323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.12566144840506988,1.4579539623435491,4.724829292873648,3.18547469058312,2.707429713765422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.39874698875599585,2.2230915758184833,0,0,0.06496141322008478,0.41897234079788664,1.033917932903159,4.3424669465380905,3.3626496051413377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.4126817071194561,2.639234342656127,7.0011326724222664,26.284455448558198,3.412167227385774,2.976333634768168,1.1861937886767686,3.0333076862152746,3.3027735821852566,4.01645618262258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.402413486742979,6.106330703067166,9.394664769529617,22.136304127493666,77.02008498114688,19.15653638349503,16.650414243628006,4.255746237985231,5.573140475258145,4.663697032087982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.955141941674626,29.777732248850487,1.5000055985250356,8.363101336815575,39.774634260244085,24.97927412759429,21.3502114723235,2.6468489926525898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.24022045318031,66.31991283970824,10.171928947538884,9.480945295968546,5.520496471432795,1.5904262281407207,1.3168795114788352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.14522368471064,82.4506131808442,23.251825099017708,19.76504589869125,3.0192053813443853,0,0,1.0683336268639827,8.192784334099454,16.933225406646912,7.881590211036043,0.3087180759540926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.94216466754717,75.92136623715619,42.81855573038384,41.19746632031847,29.682134716498055,8.164686556127815,8.91235477799743,15.790382417956163,40.307429179233594,78.85248586535847,47.525128721652145,4.645608555248903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.58335190019311,67.72090837265083,100,100,91.04644382066309,52.58257662802228,55.982172743308425,64.35743520572953,36.55321584003208,43.97910512198213,64.68878784614014,15.38540537638919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.3860278550413,99.5100925593902,100,100.00000000000001,100,100.00000000000001,99.21340319090496,87.27872042597143,51.514546648504506,44.76752453191152,14.739831968060054,3.941861160445197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
