V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5042437650511761,18.687764194893063,0,0,0,0,0,0,0.15086892615441969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030236198940530628,1.7897516426236573,0,0,0.45229671812675565,30.203987581532864,34.174288275925434,34.04771716468142,8.633380332356458
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07857272011796435,19.76505963312885,20.821055343031006,20.63027158498591,0.33190479418279745
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.342988055888998,10.516861295477204,15.224214629898317,15.223628057783055,38.322720686551925
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8180967223481626,28.104780911308396,31.57366109825669,16.241661073269796,15.954672727516359,15.953344371519552
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.431913434586855,3.9712488493882603,9.335126581704165,1.1021581246830083,0.7348602091209584,0.5820961840299028
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.044041935541652,2.579862768144593,0.22582288992090432,4.976190759215551,8.379155167390628,8.581229249890518,9.56712039171904
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.457279781382345,0.6051890389124319,0.007120170275025824,0.2915388627933555,0.47757415022877586,0.4241810996518153,0.39722722515269726
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6715193168567914,1.222261769810673,0.04323402512650475,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.495414654978884,0.5967524847037802,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.123518580932289,3.551337764436317,0.2908596395413321,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96401347765252,0.9914769973713264,0.024614842412909895,4.165098104440324,4.644606752890955,0.45239383450408355,0,0,0
0,0,0,0,0,1.483901943206281,1.6716695336223601,0.17729407986447113,0,0,0,0,0,0,0,7.94926240835698,0.9530387213686015,0,30.77380619364624,18.966350819576668,1.8504078112157496,0,0,0
0,2.8325263706446173,7.513316067124846,46.31277623686709,17.59665234668123,1.8375050542025464,0.3295225669588329,0.03663865686632144,0,0,0,0,0,0,0,13.49069591307365,9.804462026116173,1.080868364579302,20.442192456347797,4.705757608757203,0.25068850741201526,0,0,0
3.582465772139808,23.065293783640545,61.42794865677603,38.62038598324023,7.56091702712515,0.4544074083753828,0,0,41.47637877748129,29.26229709902225,3.4201897657661253,0,0,23.118049818516788,35.28423755697543,38.25347282144535,41.30296713333569,5.430699080702046,1.5325189604690985,0.2717165883656353,0.008551950371461567,0,0,0
