V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2790315178534259,3.657510123922026,10.706539560368473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.651564158411205,11.063648499543296,1.4196992500223333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12399388425804742,1.2353536319614087,2.6959018618307655,11.537189485417374,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8873981079019798,9.508320130270508,7.163539362648304,2.2693867720510688,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0111920739832412,12.988713170678462,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7044306668167173,12.751398639837793,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3243486284652759,9.812002898424295,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13585735346295866,11.273492162807978,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12708606809572,2.0469125936211476,0.017773331301954964,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8393418297031225,12.509236342341072,0.36405325899428287,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.705882299797203,0.5978699298381676,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6332020975443333,12.530814921102206,0.9150653166377616,0
0,0,0,0,0,0,0,0,0,0,0,0.3617732089873868,2.835007300224725,6.039479839338016,2.8575629695987406,0.2511586723651691,0,0,4.43341242614926,9.95496454744385,0.9311846388241072,0
0,0,0,0,0,0,0,0,0,0,0,11.23186451990747,59.996890063212454,96.34649774590282,39.98178833207206,3.578583029636463,0,0,4.290878123977484,12.119389289408964,1.4148821131038667,0
0,0,0,0,0,0,0,0,0,0,0,25.300501448229003,89.8949119383021,99.81683007412119,62.17748852151123,8.954020679059251,0.27284534806644545,0,8.712483631121295,12.613444910725459,1.6763822613602717,0
0,0,0,0,0,0,0,0,0,0,0,0.33363006857740485,65.59243931752009,95.9375284212373,96.53596519326454,33.910607871762565,8.756947638548883,11.00497403566711,11.963861307374493,12.71602277214495,1.9133045952103258,0
0,0,0,0,0,0,0,0,0,0,0,9.982699277957176,62.99007237516544,81.94160166524748,51.57783705996027,52.70510471214081,60.88815343396241,87.62358553359746,32.09419793264075,13.276657555252825,2.030163566920244,0
0,0,0,0,0,0,0,0,0,0,0,10.057711976528482,35.96941145875386,23.871366306026033,4.674925739841003,41.21381271092478,88.2429413210486,69.2264258339628,12.023278226892016,9.75841227888422,2.2715126030039468,0
0,0,0,0,0,0,0,0,0,0,0,18.392381192666903,74.2754134816086,31.96432494949476,21.236550046114495,64.04127266541668,82.90288090676039,76.94816110066701,20.37851131462996,10.97508184383934,2.547266372567671,0
