V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
12.421293208472413,10.649293794176742,11.044231014595209,2.4787435798548816,0.1290861614702013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9762833878729518,2.225156542491751,2.6319733297492878,6.130160135220749,1.3622105945570857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.1377221611543336,3.500872265364594,0.6654065022244958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.7802995532483064,4.430150907318169,1.3241251088843762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.544071191702852,1.9751131957645331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.799133660985309,2.718064435387828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.368097729343303,2.3798250946544215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.186563316789118,3.0742247545480925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4540775236569117,4.398061874599137,6.028619125598905,5.867260142366346,5.200469131678885,2.1557039826057602,0.27295138254214285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.81044379547851,3.342517857672274,2.3475270674761166,2.149847967780686,1.2556440674934788,0.4309371375425346,0.08852000514567358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6239134804344815,3.233029129621825,0.5709086954136583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0727394010439122,3.9479107112302345,2.346828300469767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.509122791123533,2.789921818505716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.9629046197809574,0.8089654486192523,0,0,0.3956051529176801,0.35645851096429554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.4262058903955843,1.3889122207157374,0,0,0.13000573129522258,0.12076312555658714,0,0,22.278722682332933,22.340190704519365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.990040538965074,4.225417087777395,0,0,0,0,0,0,21.60022940710129,23.326610512197657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.653088275662107,5.3569525451156,0,0,0,0,0,0,4.111226591887433,4.62316345451893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.283762200382899,2.839077009225783,0,0,0,0,0,0,0,0,0,0,0,0,0.36539087189417246,0.49590658687440875,0,0,0,0,0,0,0,30.523710493812764,42.972105265519815,0
0,2.4138466605413162,3.3746100189281427,0,0,0,0,0,0,0,0,0,0,0,0,0.06008016579705934,0.08152745589779516,0,0,0,0,0,0,0,1.2901707739409685,1.4350776665877942,0
