V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
59.34956050125279,50.48437376190145,11.822201118102772,0,0,0,1.290767104337688,13.734926292255034,46.215224770022274,89.1657197036424,84.10958449994058,79.3588646856451,77.51499064216802,70.53176922673782,67.07987062114923,79.62894362122975,33.95996784304592,17.3545977646564,4.323505272970648,0,0,0,0,0,0,0,0,0,0,0
33.63855284335533,9.69075521942675,2.6833129873469095,0,0,7.238457566473434,21.121992035569097,65.73770780555058,81.88221437437868,87.03724796053427,77.32488397204102,71.55628351968426,54.297824035557724,27.74634511011269,20.302248133491002,64.2180964611646,45.34955834252752,15.245825714867957,2.54190730211281,0,0,0,0,0,0,0,0,0,0,0
21.762354137501482,0,0,0,0,35.39885910347532,69.5864100566071,90.07582270809698,96.3768875188575,66.35759186504134,26.18448207166992,13.381771741768802,4.37231463146797,13.306782625304685,19.5021605444673,55.94888583663739,48.50687488624244,11.813600805083365,0,0,0,0,0,0,0,0,0,0,0,0
9.396121892312058,0,0,0,0,26.5458413801783,32.79574158082139,64.10771383466175,86.42793758043229,52.74501677226263,12.181462307726413,0,0,0,0,16.43075744465704,13.093931615605996,1.8428605300885286,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.7658037294905073,7.659003493810608,11.903979060439248,12.008299489132211,48.16904272413958,73.88598515293117,46.23829557812428,11.327551904608347,0,0,0,0,4.389444286595952,3.1930740477924235,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12.884217093497073,44.404546946221224,61.226011939178704,28.2303181953072,7.571149705959844,13.84402103006911,13.519275509006668,6.178063653200365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17.86839716673298,34.23167648336991,32.24264065454082,16.070335401965146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14000708814975124,0.590158360939788
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0861475714300514,0.413404409440753
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48237997225057594,3.1706427693850787,6.084041222323512,18.62698703609777,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9789259318912973,36.4430399484264,40.71828740634611,60.238806114794464,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7162322322501744,39.49797244093448,42.12835771709173,86.39659799000671,1.1518169435193772
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48815019718008157,22.177596701264562,23.853898616164894,95.82061295586986,18.025701895459413
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.80102697939103,17.29632338513121,66.72394488778464,23.272455745226978
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9422323785453965,17.95618581439726,33.4611856274798
