V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26
3.1392505415881455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1246733552133437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.70538264912287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4249103270989765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.198352713306134,24.378009938204528,25.131795243460406,1.8475242613556973,0,0,0,0,0,0
0.41547151259904175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.232265827371055,65.9532891366933,68.05580703159343,4.038696118965416,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.983300584029948,44.55261923797387,46.03910239386915,2.0463312183907543,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6083998301806124,1.5953133364086158,3.1031289538672273,0.03801790624528462,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007536813894922895,2.7829289784585365,2.8143452203795203,4.875334259969096,0,0,0,0,0,0
27.16977780862932,8.657780878615235,8.373408415672753,0.01807874079533506,1.352152464418614,18.916813249938023,0,0.017230842614767226,0.9447435389150127,0,0,0,0,0,0,0,0.010813181134671715,0.6034148146810021,1.1431972131957373,8.356750464172885,0,0,0,0,0,0.09063902293398267
25.35895752116558,10.06576078248601,9.824716169448168,0.031663293347570204,1.6565484111917752,21.11303110543212,0.04966229132864523,1.5140068676595924,3.437218463061017,16.37562407839543,0,0,0.0601347419655059,2.204039809843887,14.557388338572359,3.6148978708526665,34.10719157183964,32.66606443761046,12.220345600619419,27.573117658016923,0,0,0,0,0.023814556969368128,0.9933782986820874
17.453927277063205,16.122265419388352,2.238688336637182,0,0.6210177189777568,13.460775702506206,30.750750504457326,30.46579867176548,7.689641423543618,22.884779498237926,6.521279839159137,33.894772986842874,31.959090008134257,8.084990624488546,27.16258695054761,10.148090706328215,58.03272368186857,56.67002442822564,21.27183711411152,26.669129135539034,3.7159790777473463,2.8248954145823197,0.716857351744856,0.8404572426765233,3.515895529688923,5.247314670437709
22.641237852410008,21.238252784856925,0,0,0.6703829157606765,12.579642088269315,43.26051219539755,41.08675898449206,5.240198964022566,5.512791910874242,10.95256728519111,50.2335765034241,47.79555371943775,6.530637024322996,10.592487611403945,6.2962738524230675,13.03127358459802,12.903043378611523,8.309314910804485,6.535182060745028,6.1806101099617745,4.827929445833415,1.2863996026945386,1.646009559244346,6.68771875542308,7.80215381272281
8.679000637893337,8.129214555363168,0,0,0.07938836890607114,1.8886007510821439,12.203725900577458,11.562484811497702,1.7439131967258725,0.2161274423730572,3.372880278873999,11.026658208886836,10.290643684383685,0,0,0,0,2.0992270239785342,23.689093582560172,3.366524969464659,0,0,0,0,0,0
0,0,0,0,0,0,0,0.20059156177797952,1.9052128701979683,0,0,0,0,0,0,0,0,3.6953531320549193,35.30764827143152,4.487536456000326,0,0,0,0,0,0
0,0,0,2.0245937244372514,15.700005970252619,0,0,0,0,0,0,0,0,0,0,0,0,0.7491160622585272,5.99671348752569,0,0,0,0,0,0,0
0,0,0,5.152106501094691,34.89808178041389,0,0,0.061332753584772144,0.4092304765917164,0,0,0,0,0,2.840099783177588,21.291956983208305,18.05176102093425,15.406175942709892,0,0,0,0,0,0,0,0
0,0,0,3.1762360978957527,19.170815264158065,0,0,0.4873940344227816,2.8580185605518893,0.13229723220807313,0.7715899044419239,0,0,0,5.706395942722638,38.26454756669002,28.619642880839052,24.804350336671575,0,0.32242702091651404,1.8784281666909874,0,0,0,0,0
0,0,0,0,0,0,0,1.1114066702446834,5.824100617083106,0.1733596398237381,1.499775041783447,3.5240972949012583,3.317837518987143,2.473048808277221,5.62356837912176,20.762051432076586,2.4084330252036144,2.0531371362700894,0,0.59977449331125,5.063106453153317,11.375611599202642,11.27073082438653,9.965324047204502,0,0
