V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9140780073457531,0.5113360484739954,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994888575821301,0.5885546420611915,0,0,0,0,0
0.9752202898122221,0.3650119021537396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.606359255210716,2.785742277730671,0.6388267697046323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.460236511785629,5.1681387740008375,3.576595518715843,2.6620659228062005,1.0901350543696384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.434696533178666,9.499713692150635,7.761952911230497,2.7462450462077084,0,0,0,0,0
0,1.9861542743042073,7.3900851410453186,10.302694968534594,6.082439590551399,3.0526928322834816,3.098843814137149,1.9334396556730775,1.063787575125176,0.45746371355302495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.571903972646609,11.580217300638441,9.326720159023587,3.335460355995517,0,0,0,0,0
0,0,5.773531676046136,10.122678424771749,7.7784897031267075,5.981525443164738,5.935376167320996,5.625426623629881,5.455552807481229,3.214458200470037,0.6371370741770959,0,0,0,0,4.291336393413988,7.844652914417986,6.8508235030009565,6.040092603265871,2.7484767565450143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.1035453163982223,10.673258018455346,17.98078890615761,10.819538910716505,3.5136901338524598,2.537288315133091,1.1820303246860788,0,0,14.056663453020953,26.214858843311553,26.361236322272944,17.175340012921005,4.163418746230665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.2977244350128356,14.122810590499334,22.704343507390767,14.192996327098072,6.489157327548671,6.282666170241619,3.9375943731004446,1.8451299794655474,0.8936502028961738,12.836521288548758,24.461253788728634,25.62556541834926,12.813912786891892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.3446604848066767,1.348505020690391,1.9818406756870632,3.6404793991611495,4.207776786120263,3.225678827794974,4.114100597543393,5,3.4073492235722673,14.770661879193622,27.706810324487087,13.917857522206404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3.332855542505513,6.807100165891439,6.474156050446435,23.550008375091778,41.509987803529384,21.16367136630747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3.0764861548784923,6.423827021730273,5.769093438821651,5.154138839758712,5.253571108119616,4.379715431399017,1.8337496141551226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.5588010844047089,3.4345717698609937,9.882807072729085,17.690736323866687,14.50806280573062,6.909164346402611,2.5223548076884352,4.598740757504196,5.091420161285445,2.6955611647920694,1.502018085139217,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10.390798957950174,23.58620609989284,43.00976056934438,67.50061595718478,59.924421355555154,30.0941015366933,4.387299771208833,3.6052832611412473,3.803267099830494,5.474893586239995,4.932565193410317,4.309385221064487,2.482758177796722,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14.326402631272622,33.2073354013999,46.981039580003056,65.3789924190746,68.70868988912098,59.250923811661586,39.85902307531792,29.507567656328114,9.436545560301752,1.8675803864092675,4.2306412493226055,7.508373442726338,5.670868238202706,1.8688867982043549,0,0,0,0,0,0,0,0,0,0
