V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37
4.849228433997461,3.489202241281207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7139724216272711,2.5481694748201673
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1073490320158976,3.951464719813419,4.556542696496128,6.110884759349828,6.763677445762063,8.438935739525604
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09967072854311214,0.3542311131725901,1.6488020414249804,4.960677903582495,5.160548870838462,5.671480626641602,5.672730134513354,5.674101164232284,5.675593715110812,6.571230470629528,8.87039623198324,9.455289921803853,10.962047170000496,9.879583696289771,7.090118081230742
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19745901751572437,0.6996331008230526,2.0800137994640555,5.597497939007916,5.696370272125834,5.934338451775207,5.899176637070445,6.798738145785229,9.099381100216329,9.46307636369917,10.39715831838348,10.395908859444353,10.394537883700286,10.39304539115128,8.394511717418059,3.2467799549228284,2.3400816425964313,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.391741721632131,2.5565466933087397,5.529020429462782,5.528690183001692,5.528481448761688,5.80031190257882,6.491848169086664,7.613358832912507,10.471138368623196,10.654859931894496,10.756677245527671,9.815228770341335,7.059780309478166,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.2932081953686457,1.025694708636371,2.2929874203882186,5.370007866219226,5.124469108279783,5.026183763203932,4.780877780787428,4.973998636983161,5.462106288350119,5.7244935940615305,7.564637559850867,10.539613455831054,10.539943689113565,10.540152415331827,10.354305426407073,9.881442511877452,7.097315293906847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3664969732789967,3.3346705175280333,5.74301961327427,5.923139042172134,6.37608745690622,7.581806791749813,10.41216533814204,9.939873092259276,9.752244765708152,9.279174863208318,9.656791424688699,10.606525236030077,9.666959816136668,5.226224367269841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.001344918120935,8.956532327275925,11.329899288592818,10.56762643852345,8.66684770915894,6.189173649986382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.70507565645419,4.776954628060605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
