V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
0,0,0,0,0,0,0,0,0.24727975222842438,0.420904125247471,1.7599059093776945,3.4316451034331235,3.932824311638327,1.5708196322890706,0,7.631813447969394,23.937829363004656,30.679468432828163,29.931616014364135,44.44535644424863,54.37764446625929,40.10807911957132,15.392487029200378,1.7984212330291935,0,0,0,5.874035034014099,10,7.532845390076385,5.472566086590587,5.270602183251815,2.2488900953283504
0,0,0,0,0,0,0,0,0,0,0,0.8923707290731167,1.411855270341769,0.5090255623864168,0,9.953882100143005,43.1288580888378,58.37971845808634,56.766552412672596,53.5384680536859,52.80584252406511,31.68679027775033,19.18614597165417,8.681758515679356,2.3407426017345836,1.9981592873716634,0.6958023180791953,6.34120588730726,10,3.682342649053949,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.8917407729430273,2.625877483955066,3.2618796687834823,3.4641556880978817,2.8037134530770658,18.635189756097013,26.42420491880749,24.019660343055605,28.50493194044607,30.658585762271663,44.48168844565588,50.074901988857064,19.753810059607638,7.0300205758314975,7.315310744736352,6.801067237765091,9.217439725278606,10.567420614193352,3.388505490204874,0,0,0
1.1765354360680316,0,0,1.494220228061927,1.9274170162100124,2.3552215213584917,2.4481929797326414,3.73442572487884,4.071594972207679,3.9653083192526912,3.4463962914704016,2.946773878271534,2.9161215803887712,6.726911197486528,7.98134921160317,2.437890602042709,0.13969078963416875,0,0,16.821614930111235,23.400653132967,43.4276458410213,51.67497724432444,15.573240924608967,5.360876560600471,6.753709880116902,12.438926492141775,11.909666749006583,10.881946834328772,4.542303804999806,1.9958119037905808,1.5368865897372694,0.6835099351690908
52.30795483460089,51.2967856374391,13.507929380561736,2.2560216129056827,1.7234756631968877,11.550929083327546,13.72542708721306,10.19489924482205,4.239422569255916,3.064143317486825,2.8099892466895433,0.9491882677998837,0.4832360991261983,22.72255347943755,27.972330599973127,31.067391971320152,6.573603588989863,0,0,0,0,0,0,0,0,0,0,6.64363968006255,8.550632926279501,6.51176757159322,6.0377538892912614,4.973581251507489,2.959003211759068
32.022321587759826,34.215271204447895,7.160154068211687,0.6623452215109877,0.3659478138451654,8.634337146479611,10.341914735777742,5.954042141356289,0.814253735068905,0,0,0,0,22.74302933896018,27.74484426343605,38.85677255116381,6.890933186593032,0,0,0,0,0,0,0,0,0,0,5.860429014971483,8.622193774694448,1.6299279019123452,0,0,2.570540615208277
4.309041638642779,4.866989907311533,0.5067730331625069,0,0,1.3820506399758,1.6023133876250546,0.5480903180487051,0.046285619351760184,0,0,0,0,2.694146911504425,3.131631612059239,5.120175498377646,0.651268124789278,0,0,0,0,0,0,0,0,0,0,0,4.273150168318213,10.479643735413704,10.660044495808316,2.521555288676156,0.17235126787187982
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.305825722599244,31.084512562491973,34.52873779567928,7.468590840569382,0.44140107115232985
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.335050773878254,0.18686864794984392,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02518254471828344,2.275180642807362,2.1721793893133152,4.4454688833071545,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4368413450216837,7.1381835159981835,8,7.73768850759593,2.9486029027197516,1.8809668658118155,1.6724216325776602,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.755677008931464,15.926082660112735,6.619979248097961,8.815187235699508,25.67121696664429,15.389628606428094,13.465345732382616,0,0
1.4138695376296109,3.7055294811014665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40894478930439593,2.728192283392611,11.006882238399598,55.59462636652381,33.65152872267155,29.183854178531153,0,0
7.273561534960219,6.960650627857662,2.5232970950261286,1.8953922807425971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45073098259302125,2.26761147031397,4.771043790156431,14.309137653653407,9.509472719909516,7.702192150371938,0,0
10.999057721640318,13.31807518435633,4.626614865358108,3.3315274208214785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5285789127924265,2.2097537654565733,4.827636018850846,12.201207455899567,9.006110464205047,0.7760525235046093,0,0
7.535698752041998,6.993959702266594,1.8879717745447553,1.3261188209661534,0,0,0,0,0,0,0,0,0,0,0,0,0.12493430680747522,0.2751485348218459,0,0,0,0,0,0,0,0.31914530605272595,1.036878160663727,15.011384831112714,49.687491166117,37.84313352564134,5.724572436666774,0,0
10.510571950887087,23.49051052421896,22.25507806742423,13.629916114438668,0,0,0,0,2.1112796525170268,12.682605351389805,24.334521665925045,23.072384770308553,21.450264885304804,13.839869098912775,2.7004586338529015,5.050816961879957,12.927129965480548,20.55253575546865,8.638001964071155,5.413963513398559,0,0,0,0,0,7.003960395700038,19.811479091301365,33.73266987334081,62.57354971327915,48.8964501379577,15.229496169896084,0.3598951185550413,0.5994279676864451
24.01799116951358,56.13504686748005,61.333940979951315,47.962893001442275,19.25705331978526,20.174318665224213,32.5794096729456,46.801345823327395,49.57531065147671,61.81242568336831,72.94764928602889,71.34425496902719,67.71902168916455,50.562669818080174,28.377239747898717,32.00159138935578,40.07369204062875,43.14189933005878,21.86740265497951,8.974350188942948,0,0,0,0,0,20.360507175606447,52.07720716907044,60.050725142041884,77.14329964557922,58.81275926153627,17.33265248977325,1.8242451778183577,3.825850567363188
38.43948369758863,80.50021997908392,79.0758901593912,75.6480050755637,71.81574872624635,72.00867880600651,72.59702514471145,73.12274329340087,84.77711008359188,98.01352680723222,98.88486416295343,98.32665055139509,96.20532639385266,84.96630248703585,56.177344451099444,38.96258080771178,30.890365404510682,20.385139525909583,11.645866107852456,0,0,0.4225095518656137,2.525495323548005,4.37658434068041,2.3547957730654576,5.410710475705883,7.306883140891645,0,0,0,0.3441337381272864,0.8284377275707194,3.5852277468243927
