V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0,0,0.23488222741538203,0.8571256833712207,0.4031004404914639,0,0,0,3.5321674575483377,8.431604465093306,3.24759545113435,0,2.2999040136426068,3.6988311288974423,1.1718938809140789,0,0,0,0,0
0,0,0.6313788593357477,2.5112905826626326,1.2168839061240555,0,0,0,0,6.629354552625108,3.3255452312627805,0,0,0,0,0,0,0,0,0
0,0,0.39197398977012143,1.7921243801086058,0.9025901187459444,0,0,0,0,6.55134601150605,3.403500214351194,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.19883831253356,3.331318334734065,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.028223077414841,3.3576865234483755,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.0469318226597455,3.479101011776786,0,0,0,4.858587392283695,2.571634910357508,0,0,0,0
0,0,0,0,0,0,0,0,0,5.883576439041994,3.506253188617978,0,0,0,5.524654201278348,2.94033959153798,0,0,0,0
0,0,0,0,0,0,0,0,0,6.161225207650731,3.7933531733335286,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.083185426425489,3.87133937475482,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.743427399424887,3.7743591118372635,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.593855881147935,3.8038124159243356,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.591829475286186,3.9218345259707688,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.448781948599501,3.952804991006638,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.440334414703652,4.069207510545801,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.9531437126396745,4.6149733041261545,2.3333470974758295,0,6.451212263164027,4.785283158856757,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4.876322216021123,4.275986926986938,0.24082841851149078,0,7.227818291621837,5.377415641562202,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.1733647693277085,4.337165187199727,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.038182116504893,4.366037947004461,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.021929934416363,4.48447967532541,0,0,0,0,0,0,0,0,0,0
