V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
0,10.746074103602202,31.9175805178567,42.00659477847921,36.41446137869592,16.126418039315624,0.3037225218805892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10.856765949490834,22.8745213556019,40.695596638705695,46.81675339615999,16.803153168499403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.39963043360695477,0.8371775958696246,14.308446684297579,43.991688708910544,43.721566192432,13.419694281473728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.40695825109935324,15.194035493505961,50.65727318792721,44.352743536711955,7.669188107016354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.2370834069237904,36.569161856124225,69.39108110142605,40.22646873075209,13.09313152523989,6.686871814868627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,14.639019912893703,62.59494433024953,79.50802193386706,61.635497403841924,33.00796136805402,1.7254982253510769,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.8957461390764685,35.968530435892035,82.43085988587427,96.10364568647665,74.51644948352728,33.683002249377914,7.396234387036437,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10.24060930956346,40.05548617966433,59.815804927281604,72.17845714149317,75.07498490103171,41.212042459971585,8.441873422221105,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.265555612873548,12.618550003442152,26.464199115029317,64.25261691438104,78.40964450403416,52.69906564761006,22.548648726408807,8.32859842708918,4.146996902332064,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.7575509873334283,21.530272363719977,55.92159512413802,77.51090202884366,69.88171763211326,57.11489915993573,41.93494884370566,14.234085565570492,0.8177440994167429,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.3343728544223803,12.70242701481852,32.72334506047807,41.62955930203743,40.67271418109003,32.39920844265004,19.618328561801622,25.210269543331144,43.30853648625302,42.68286475207482,34.25432024888977,26.727791156021024,12.051044476418916,2.3870751623636877
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9150001668602544,7.186196907907932,21.40494926654705,39.89045913019422,58.81804440013714,67.88361197161713,68.7261055945691,63.65981550910122,47.59874146702811
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5646055210188231,1.1017099737250877,12.054910469943662,28.80432851991052,18.553735084646554,4.305789098114071,19.529953216143184,33.00999063653694,48.66765076988111,78.09921475897066,85.36729685054846
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5939725752998806,3.099518379832739,26.53061880655705,63.95278174604864,44.8604991183383,6.424144800674375,0,0,8.08004241488694,29.001829154803254,44.83631443003696
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9291289388768059,1.805345739939595,13.750202870489877,35.383258384579484,28.47173285107678,6.207657388919978,0,0,0,0.9611763634965352,4.272492494245965
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4206565237075575,2.7428015739123435,1.320768799174032,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
