V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.57640239331737,3.6391669959628965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.79273499945717,61.56697849904164,21.105558484973493,5.88923862196609,1.7388185728599965,8.896856759802196,3.7372877862323026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5118194062571872,0.760134594280028,0.34609415144755434,0.12488883668541459,5.602172847732538,41.93105630664948,54.522524805489056,53.88170701773876,45.457213249037835,25.6635667552806,5.469050325107738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.15847123428945326,1.3745674382205109,4.805898320859842,6.089384767940849,22.47099766831799,36.1710763045635,51.84208848960338,56.57679561419322,56.32499858355603,50.01140438710271,19.290716596093027,8.335908015526307,2.320790360399515,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.11197190375777953,0.17013647148636896,1.0071407260844374,1.8746165134830752,3.014381296344929,3.564387998017893,3.816176352710003,17.910393608163165,37.20604710875066,42.25894265335984,53.65676296696956,50.33517500999564,47.39278899175574,49.161684078402224,20.054845413554563,2.439909773646175,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.088536194284657,2.8786119756983304,3.532175601330558,4.818111469270398,6.112288991079666,6.547604583644795,33.00730010130444,59.03169139426736,62.61179188022178,61.58640165880629,44.92885101740221,23.268523624235755,12.416415239391435,10.5144421543115,2.7575678293487114
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13326055290978792,0.18660759475149202,3.0332921038814877,6.439501324428059,15.357451991309173,18.258291726729936,34.87996285699466,54.15006298614308,78.85149625812177,85.40364686303002,60.55831888398487
