V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.911690343871062,14.77245240364222,7.780498240861784,0,0,0.2545191604762132,11.457635252820062
0,0,0,0,0,0,0,0,0,0,0,0,0,0.241612830917774,21.005671791513198,52.647787556124406,28.53451937100789,0,0,0.6124246207348291,17.62787399264097
0,0,0,0,0,0,0,0,0,0,0,0,0,7.272848000692184,30.09434228162739,38.32657069019265,14.238280982605716,0,0,0.21534606230215952,5.373894144120194
0,0,0,0,0,0,0,0,0,0,0,0,0,4.614690725094697,12.455058426610869,7.916120132433127,1.2251355301912936,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.5620696223271147,1.0538198213250243,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2823345219323918
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70510169952447
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4017463808300095,30.176599889704207
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.896539023554491,11.121496513315508
