V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
100,94.50685881345439,64.24862682275801,16.229318117185667,4.631775479138385,1.0506296128185764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,78.08592115635871,16.543723361447093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.00000000000001,81.48073498421695,17.8684019465622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,52.81104730181066,9.103311622501986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,36.94681766058392,4.063164989776693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,67.89197408180428,14.980768927283924,0.2136978683268885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,95.26774850774623,36.81719050977517,4.46546711611899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,80.27948030352347,21.586847398177305,3.3557572556336153,0.8865964875378995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.00000000000001,100,96.48494065329201,46.069766253423516,28.427251653251105,7.608425434573851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.25970040530227,100,100,86.03237350417464,80.90816956977527,29.344106250142758,2.7801566835774163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.53456211329637,98.82598689128392,99.67420302291413,100,100,70.61694982508419,19.152976827235314,1.0391789695402187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.82675857080449,85.50555289327019,95.92451060165584,100,100,100.00000000000001,52.49650070084029,13.146782574099356,4.9847821526329845,1.4268024846906602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.90333954806011,41.620527678276545,81.72694910432536,99.33495211081822,100,100,97.71941559014283,52.430320301649886,34.664455626025,10.025172003156127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4790685296408443,4.873022030647661,54.7878052530451,92.19758870714341,99.22378558236716,99.77180565010241,100,86.41328957079945,80.85933486372525,31.10098259834401,3.098073794703765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12956068986888059,0.18521694244604653,15.63234593445463,73.96514589197076,95.61711866120791,98.70264150957809,100,100,100,72.55757672979557,32.540854531779416,20.626291629291842,20.841469063843952,17.965021821160246,15.0230198633189,14.399739120999449,10.4577004308344,8.772089067785776,3.616768068594718,1.3423037063558565,0.41347639617412835,0,0,0,0,0,0,0,0
11.695750711039194,13.964912074908732,34.8920210105551,79.78465043284137,95.1329674389165,98.54075011721109,100,100,100,100,100,100,100,88.45194655468175,76.83797883257314,74.00616076742415,59.39392070816388,53.00130984147995,33.56934621586455,25.014892564459846,19.218297566478448,10.162162468691795,7.289282833311356,4.19632718163277,0.8717647957384476,0,0,0,0
68.28762972960112,77.03977657376187,93.04913536293665,100,100,100,100,100,100,100,100.00000000000001,100,100,100,100,100,100,100,95.69916196187324,93.74791753278936,84.1620213091636,57.473495235790764,47.311977947335734,36.2954603275364,21.22910066964033,13.381017904203151,11.944786357261806,5.306645134327024,0.6890581812060156
100,100,100,100,100.00000000000001,100,100,100,100,100,100,100,100,100,100,100,100,100,100.00000000000001,100,100,100,100,97.89944362903651,84.35418320303526,67.47948383823794,62.34827327082357,40.2763652515498,17.030687837492376
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.00000000000001,100,100,100,100,100,100,100,100,98.45623016837524,71.56208839332655
