V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
0.612078891939463,4.07059087280965,2.606223930270408,1.576904499130382,1.8726831487127633,0.5579071047520157,0,0.5156098885175691,0.1978978632120318,0,0,0,0,0,0,0,0,0.381051463288365,0.15428697451887097,0,0,0.744645223277834,1.0985084133192455,1.1342258664654161,1.1699602598860497,1.20571159346655,1.2414798671782685,1.7780629052262928,1.9999999999999998,2
0.42351702551746906,1.8190283725711363,1.0192322791786284,0.41600263225346135,1.348489510210891,0.8971586933878789,0.5222364773061423,0.557681639682541,0.1939786044516073,0,0,0,0,0,0.5363305755850841,0.2829467887606638,0,0.6038105762568501,0.3225570893080669,0,0.6705491770062948,1.3289287348173697,1.811617738614103,2,2,2,2,1.176637115982141,1.5389151150170775,2
2.1695320019229154,4.0786259865110885,2.811651352104319,1.795544921054169,1.1439124131460874,1.3927701460839108,1.742429859042259,1.55127236818028,0.5250109294753371,0,0.20566818267814865,0.5625937535410932,0.2741613959705117,0,0.9935377065441434,1.11932936339832,0.8703417716939998,1.5808043060295875,1.348528344202548,0.9772325373573897,1.9282482421378497,1.5921194496843138,1.6102175715138394,2,1.2978267861649688,1.1696831063781181,1.386381402833055,1.3048313008809682,0.9388980081884157,0.6653638679955896
0,3.4681310147027653,2.8142497365133137,0.7990909610864034,0.3205665327446023,0.7274700369704192,1.2540222404755363,0.8451621867421973,0.5789467787716555,0.25615950811782173,0.3927083156378045,1.03878717787397,0.5383749277289123,0,0.3481300875556207,1.6371875309182888,2.431616764617486,1.6777021651143622,1.5991438067815376,2.276334675511124,2.499604724912072,1.9357783092455312,1.4949342629241815,1.4435631398729227,0.6230946666999979,0.5616042159238359,1,1.5589004062035903,0.8849060301552414,0
0,0,0,0,0,0.8350877886537736,1.49905092557276,1.8993017652742177,1.9770363351244526,1.109575730011038,0.6428164570408268,0.31468366663654584,0,0,0,2.0273571527614833,3.8561256817322045,1.8372031795018575,1.0531150918517205,1.7665450605312074,1.239733112191534,2.0464591112012784,1.9913658178745008,1,1.0733394867165362,0.7813055123324137,0.3935019482827087,1.2109243567246433,0.9742849155726134,0
0,0,0,0,0,0,0,1.0970022229795982,1.5811719921735758,1.6429263708519954,2.3178582379300265,1.5171332444436685,0.7067493095607249,0.7422911330267521,0.7778498941028779,2.453570495747727,4.150981770814303,2.1257238097867144,1.18598263672496,1.2868106010964566,0,0.9298054323461565,1.710845481868149,1.549320466366464,1.2348254656812099,0.4378854685601599,0,0.3560931981652742,0.38427279671161396,0
0,0,0,0,0,0,0,0,0.32570360294963324,1.7374245989985235,3.0000000000000004,2.9982932123198767,2.4253382734443893,1.6324060932012419,1.7854358350562216,2.0855729037118516,1.9726911305661046,0.9445414988523364,0.7134258796405476,0.889009378123825,0,0,0.40786119676391963,0.9084748680418007,0.49821054452724406,0,0,0,0,0
0,0,0,0,0,0.18286046772556927,0.28290390770852375,0,0,0.8610067691269425,2.067723453867204,2.555834791778461,2.218253886657111,0.6359575555021901,1.0170226265381825,1.2029744137983478,0.5171815542960778,0.4352057941961073,0.6311162976055258,0.9416765562020697,0.9773344445095465,0.6191021722929569,0,0,0.21537396531776892,0.35652186860435947,0,0,0,0.4902042981139377
0,0,0,0,0,0.5742336278472404,0.9684038567094176,0,0,0,0,0,0,0,0.22037856985674556,0.8101824586904457,1.593114014724809,2.2949561103439,2.6970600440453603,3.401849817960147,3.455334777050656,2.3006903693735623,0,0,0.5291432010906779,1.2358812028508592,0.3926430626530016,0,0.20984484057903607,0.6666251202640309
0.12661110871843598,0.09680202935618247,0,0,0,0,0,0,0,0,0,0,0.2123278322362776,0.60267755406004,0.3747170018520762,0.8338135484688596,1.9502349729437736,2.2876060925642125,2.3849197381090934,2.6813576762583993,2.5922191999512947,1.9023695431907344,0.671535881203459,1.0701801015202523,1.2066647575663394,1.303049053497427,1.2240134299755425,1.8197613478960921,1.4398745781332816,0.2546326601616575
1.3692049175632517,1.0169403239702741,0,0,0,0,0,0,0,0,0,0.08587300657549782,0.6926224712038964,1.3794240057130736,0.628834490893027,0.8606638386960644,1.306392084430081,0.42454511446073817,0.4423552508066852,0.34133452650874047,0,0.12869348111202009,1.1311499045766533,2.660796482036889,1.3376063819532753,1,1.4955505801476636,2.9999999999999996,2.569649651455091,0.9668350312487936
3.5218971997086377,2.653038465606676,0.11779729538092763,0,0,0,0,0,0,0.1914282645152291,0.8896873142939261,1.0268112215549559,1.481064475800147,1.5928187012714612,0,0.6251085225486211,2.399570116348883,1,0.9055346984747498,0.7200542187785421,1.4233376642994071,1.3731004404660403,1.2167602704142875,1.7036350522772166,1,0.9999999999999999,1.2881454539452162,2.40053191406239,2.4296065756676715,2.1119577195056887
0,0.1704577616587946,0.6829856410851066,0,0,0,0,0,0.09586202512969597,0.901058532359432,2.360332875104075,1.942589201072832,1.762108183676225,3.001600742250042,0,0.10843604618625952,0.6003614400039169,0.5825610178746007,0.4682799702537849,0.43116477121648555,2.5291089514983085,2.345058784529925,1.3309167058971303,0.6020055522527443,1,0.9103427856404771,0.6721224076674082,1.9999999999999998,2.1554326816946014,2.9271828457022666
0,0,0,0,0,0,0,0,0.31976593553039545,2.055146535107749,0.6521009318237209,0.3072144166228116,0.6879156761432661,2.5976129881224477,0,0,0.15384927371707843,1.241658636604539,1.4587385616523254,2.497857776973604,1.065327187050358,0.9670066571210794,0.49698779900359047,0.6026637702571285,1.5387218606608801,1.3768707631160435,0.09693175700410518,0.8153003061062953,0.8226862627956767,1.361954852012886
0.3876278876773981,0,0,0.05121830435725651,0.5388141711437218,0.5717192966029155,0.3866905391928766,0,0.21952436615982476,1.9845762401849605,0.06747384544214667,0.6963344197533152,0.861281627165877,2.4219207580359745,0,0.06493349952831291,0.9734789023505309,3,3.140528561736191,4.430894849429155,1.7090197231378579,0,0,0.07145804148793754,0.9296701679001966,0.908966797475423,1.141814377655724,1.097874630599032,0,0.1129547905700124
3.637399487264261,0,0.0265443939160482,0.6396219889593848,3.176060429743683,3.1018190543634634,1.4878792948835227,0,0,0,0.014177326683033039,0.30011694119111787,0.3820313590137701,1.5887396265915146,0,0.06881694081278873,1.6516724543416623,2.5932187351617344,2.591317939298063,3.0199981621160754,3.4657885017966543,1.4341803902889145,1.4414865274647002,0,0,0.023659201270721672,0.8792882165097283,1.3956495289738222,0.5901931483209379,0.007515877835013133
2.6353203948773043,0,0.05633925613434913,3.0118579780751467,3.65496733414276,3.5690153352241096,0,0,0,0,0.0042760290288109005,0.7034315004937534,0.6856758997833334,0.6671813019663969,3.381210821139249e-4,0,1.3802347592065125,1.1946673400069028,1.1579290371551356,1.6786206832255761,2.5339881346039737,2.525494543752535,2.5076542879380685,1.0425620294341855,0.01765135254870372,0,0,0.9784086138501586,1,0.024848252153075123
0.31256545105399536,0.008244864072033281,0,2.624728360648252,1.6906321183991373,1.6266636911381345,0.24851659523014724,0.007430465857956099,0.23139210975740615,0.2575356933861616,0.010556069429327897,0.8439163871082072,0.9323257019645854,0.04262427623835578,0.33076772939985255,0.3640909623216803,1.1950993826603982,0.05978268249894346,0,0,1.0339185626387575,2.8357421356465973,2.9775812219959286,2.536855115310667,2.1241203950882124,2.1694411780072573,0.1447172587449983,0.39394413583705756,0.4039938366264332,0.026843662714959166
2.927587294262032,0.4129186241928326,0.2601278468619649,0.9499240261203531,0.0727245999939351,0,0.738419768111038,0.26226078165879746,0.721901017937531,0.7460111108603646,0.060171280810468526,1.951944540173244,2.078320304565768,0.7704113052841758,0.6597632123708597,0.6394595737973849,0.7441636551509907,0.07464119835956673,0,0,0,3.596558361178744,4,1.752188157294611,2.3313269572742046,2.3835894552068755,0.7503040621980605,1.0854199145461387,0.1333364821127234,0
2.617301807621651,1.990841252082007,1.8734783433665991,0.971003377749803,0.09795024476818122,0.1582927117670312,0.19728265361645694,1.2819081233332184,0.18105109901233185,0,0,0,0,1.4571257861060944,1.1035560642544415,1.0709702625346316,2.2035249526150293,1.6842904535302434,0.5831246958003808,0.4281912510415232,0.8279422318752707,2.760562096795354,3.03663799650304,0.4463476727459963,0.4100201926284769,0.464753066961058,0.9149300520554318,1.844509366734933,0.3143637601827298,0
