V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
0,0,0.5867870577872056,1.4864694102789637,0.9206399272085772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.5947524325497936,0.6561427847913822,1.107471704373033,1.2100297697601186,0,0,0.5491353014726433,0.5966009862133594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.5571632515125703,1.4100880674230267,0.8781035165245229,0,0,0.4111139884365883,0.44463788938658017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.40525945479512027,0.4363796768131467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.2781658947050611,0.28876067548678064,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.5596515195597423,0.7886162614040422,0.2205046933241867,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.8484588808218396,1.7117268492037765,2.5513711765822067,3.270646357780681,2.981430104661994,1.4227338460845824,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.6395623344762015,1.2915630933226319,4.201925039412258,5.8549210001854375,4.500248139969672,3.6287450378832395,1.6874599138121245,0.5598415904047578,0.27964218978492017,0,0.5546853820126139,0.5537615216443705,0,0,0.8244727566149116,0.8198079288213413,0,0,0
0,0,0,0,0,0,0,0,1.734243844281384,5.654909890669332,6.470083482988981,5.90648783034109,5.518442748838594,4.352472700915711,2.1637493099134617,0,0.44797381663191466,0.4452711775049004,0,0,0.6825158844419374,0.6757405347846803,0,1.0952724273553962,2.7139154661734333
0,0,0,0,0,0,0,0,0,2.1945112499074018,4.9104580998887535,5.599143999376463,4.413392762690059,3.0964536264766815,2.381397403374785,0.8239271781609178,0,0,0,0,0,0,0,2.3006214788376598,4.458119209766958
0,0,0,0,0,0,0,0,0,0,1.1106032561938166,1.9783197097947622,0.8717597258013705,0,0.6771249222636218,0.6599809579224422,2.2409579464051346,2.1668317845030316,0,0,0,0,1.380707281596979,2.4962702953358553,2.1075547394457086
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8338824878407176,1.7654460677993304,0,0,0,0,1.1722372652180553,1.12305914031986,2.7171125127065947
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9704725127605083
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7189217102556827
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86147547405929,0.7733743495870531,0,0,0,0,0,0,0,0
