V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
0,1.5942980157402729,2.810887824388778,2.8549841971028367,2.4003968500848756,2.2541121548206897,1.808079129966246,2.8945066114904106,3.039018643237368,3.0000000000000004,0.6118088683943843,1.3831044160752968,1.779704089534057,1.8207681528185324,0.38374902101501107,0.7548038164960112,0.9719287469408692,0.9924264955718609,0.20827674291103979,0,0,1.4627671745946398,1.8852683185449939,1.884767000485314,1.8643292480192857,2.6318845605889445,0.8781207061934089,0.3938651668446241,0.09284638726184587
0.6010748092580251,0.6661802725035799,1.8447738888177956,0.32311392354979523,1.8525099948004693,2.248082443613824,2.9613805385965994,3.3392667337004376,2.747901786523878,2.8054964110879146,0.6946090765978736,0.2544397334200402,0.21335995284777992,0.1722973130505909,0.020783482909624843,0,0,0,0.0026303507087641225,0,0.7902371134020384,1.8251194444112,2,2,1.2802411560860296,1.292875166360609,0.22441595705844225,0,0
1.7953624498405243,2,0.7610364101172319,0.5767466567778176,0.05607157537092381,0,0,0.8935212018540458,1,1.8923428117237717,2.128679515547031,1.9031846059467885,1.8967877968408167,2.0644915764372875,0.2833263412510128,0.004629597786935403,0,0.0011448581569128418,1.7389867991867272,1.9193558387386156,1.9322734321523451,0.3638315676884422,0.20341644032823655,0.24430625208209417,0.15917992573175713,0.16301722668243382,0.021552191958218822,0,0
1.2355450054206183,1.3477218028322904,1.388970128854314,1.430201315762913,0.5820820616579574,0.48738772798935487,0.025865033638372132,0.7507633925091356,0.8180500808210396,1.778818864970307,2.931090641814176,1.234962975833695,1.099744635458046,2.806205815052773,1.2319677351110094,0.17554346412382943,0.0033951381528166446,1.8654796290776534,1.9969598641493425,2,0.25280432870373837,0.011353641466651463,0,0,0,0,0,0,0
0.34115405348648314,0.3226638885679046,0.0022692428177866885,0,1.4653778344487405,1.5195569761923524,0.2331068875025781,0.0021254966129356486,0,0.8320324601032564,2.837511496874907,2.0116490368207565,2,2,3.0393339367347507,3.0347154274709367,0.0910844828596581,1.9661530441656971,2.9561584778177896,2.017301059721254,2.7818902651918123,0.9471837257263096,0.017830891914313928,0,0,3.2477550888633813,3.2385940870652212,0.072787467674091,0
1.339820186536108,1.2649183278309963,0,0,0.02016243100686848,0.5028997405593614,1.219220893234538,1.1734861217387729,1.0436583220100346,0.816336492650624,2,2,2,2.0618564852889842,3.8964765208929517,3.907449010309633,2.968586962311925,2.0002999371143995,2.0293211248639644,1.945491000740742,0.26304027071830904,1.9057756642526122,1.7268206999874027,0,0.038411964584369296,1.5201748829114243,1.5417800951042908,0,0
1.327310653904835,1.2465599897866755,0,0,0.1742545576184617,2,2.270150348817678,5.231557973070546,5.243883070505616,4.321039747246709,1.8695756045159146,1.8810619322049635,1.821313668762246,1.8846962633721942,2.0965924228185253,2.124274324096619,2.901327233676787,2.0774316012498244,2.9663051307303405,2.7185495236117867,0.011419314037169314,0.19019640957076042,0.21372180900747542,0,0.01155733362474317,0.17684935091885493,0.1829471936832259,0,0
0,0,0,0,0.2025089033484942,1.6330362209094202,2.181247431292445,2.0000000000000004,2,1.8489584828985897,0.873043774084152,0.7771959682236996,0.011126796430027971,0.5640395752362973,3.955169111249451,3.4749045506851672,0.3857347735459423,2.8613737656662077,2.037157349767435,1.8008301946039609,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5056775484811215,2.687378470547304,2.1851700966686134,2.0756263335156633,1.4046739478254562,0,0,0.1919723713697201,1.3933252880928448,2.9586342284297773,2.803894625196675,1.6506091678332226,0.056907732503491376,0.08123924980283874,0.10111705812011981,0,0,0,0,0,0,0,0,0
0.32591936788033443,0.30529092621470805,0.2846710523295507,0.2640597462248625,0.18722521055408933,0.4604790956643344,2.183083789098668,2.8598687474292084,2.3526005764623816,0.10861700213519203,0,0,0.4147383423344047,1.8831641625047004,1.9241982802634368,1.7538741456765592,0.7801617772031977,0,0,0,0,0,0.3810213657448031,1.336370659583784,0,0,0.17044933616502925,0.606445456436053,0
