V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35
0,0,0,0,0.23737790698174155,1.2147051037721313,0,0,0,0,0.37100052263367933,2.199624769340221,2.0427776428192965,1.2647427641090336,1.0912432382270576,0.21717359298102584,0,0.13702564588486082,0.7792804434164462,1.4322137473751686,3.6867520567081495,0,0,0,0,0,0,0,0.13870333035238389,0.7504984509757265,1.0311091225822344,2.2477402248172775,2.2003060705410946,1.9067524116505252,1.5096836665032947
0,0,0,0,0,0,0,0,0,0,0,0,0.2569155511814598,1.4782052639519585,1.3501312774005871,0.6101994769362213,0,0.3976906867637667,2.2322551872343257,2.235172734403303,1.8329726706775924,0,0,0,0,0,0,0.13888916821355984,0.7396480078901367,0.7369701645698653,1.0248256302710377,2.2683136109955666,2.1259990175311034,1.3173230920716825,0.4826270025015407
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09177212474571961,0.5080776304613455,0.41418877432604145,0,0,0,0,0,0,0,0,0,0.5238511233853101,2.664633723681112,2.274563839593674,1.8386643407034764,0,0.09293295631218823,0.6808748653261174,1.5250620095290572
0,0,0,0,0,0,0,0,0,0,0,0,0.09189630704861829,0.5064141087019621,0.5503824100460498,1.0279180922649556,2.2501938505507155,1.8334976991708691,0,0,0,0,0,0,0,0.09246356529676238,0.48133831417237194,0.6804308556683032,1.3198201604604138,0.4759350898074162,0.4278257638879815,0.23620641779524165,0.4903786754717352,1.2280276685273632,0
0,0,0,0,0.046008737365136075,0.21172873867398348,0,0,0,0,0,0,0.3681659409276037,2,2.0473355947913956,2.304083071060038,2.5073019092366184,2.0374331232761205,0,0,0,0,0,0,0.046201668492527465,0.5340697761088188,1.763175292769748,1.418394531473402,0.3935038350855495,2.0000000000000004,1.8479231580293933,1.2323621344119673,1.0778526134326443,0.46126605990445146,0.45956092318885106
0,0.046237762860611424,0.21094412232152582,0,0.18130978865852476,0.8179255077534022,0,0,0,0,0,0,0.37485863922254853,1.9999999999999998,1.6220802671620327,0.14352700166218313,0.7574956002835638,0.6134192151482699,0,0,0,0,0.09235075844337359,0.47150745579221426,0.5739195556803846,0.9999999999999999,1,0.8472479665358394,0.49205140117525625,1.5394419876021266,1.633525365560332,2,1.9076900032536421,1.6848851115427388,2.225936433975841
0.2555593521737491,0.3906186525579804,0.8166122954474001,0,0.23129214121424352,1.1108669803029734,0.49796480820634725,0.4494484415086535,0.24685399701701202,0.2921497712250322,0.3968511716708016,0,0.4278507888622778,2.2416727801626717,1.8098849900694804,0,0,0,0,0.09237863285611249,0.3771612509002496,0,0.30405189125555154,1.5361810128655489,1.3845108785835274,0.8621474676008438,1.2291362859509103,1.1360835170541022,0.7082392439292529,0.45286995217576365,0.721182613097372,1.7753259539363797,1.4110620324492562,0.5729353341973139,2.7779074341461363
0.7482856048497407,0.8427657456833357,1.0158422991450515,0,0.2836473286851423,1.5075723225317021,1.5097246151821104,1.460831369655852,1.2430093647093925,1.3410366622026535,1.4665417343310416,0.23987678558017703,0.7284814815719421,2.7621716588639087,2.222850087516486,0.09256120467045895,0.4696311738231247,0.3752052636135015,0,0.39822810720139573,1.7387716971104155,0.6898622895530911,0.5487518261121124,0,0.046035809090969666,0.5869905824729967,2,1.6822709458932144,0.674305208993293,1.554817789096104,1.3955065925599723,0.7791697588942905,0.6174828762440051,0.3265848044535368,1.563502285600308
0,0.4266922903188883,1.8176226655776024,0,0,0,0,0.2948433218511209,1.5216702161459401,1.5610119199882417,1.5717430384551754,1,1.1510614853375378,1.7660159383867189,1.4619947613747488,0.492171711060837,1.5380571604417899,1.3692496192373578,0.6870087961187181,0.8580193002459742,1.7027452889274968,2.3216696678196787,1.8495244772900838,0,0.15978082565653992,0.9381409040239197,1.5571029947269737,1.6505664717436415,1.6288557283114198,0.2187473942982976,0.1721462486804918,0,0,0,0
0.7320748791875603,1.027282930784407,1.832852961511444,0,0,0.046795808888234376,0.23744874761774495,0.28306804558914306,0.4706411573684979,1.4035976600989424,4.5211224249281985,1.9287529330110669,1.7853808029052358,1.230139941615728,1.136498577501311,0.6153434442772044,0,0.6123525966178789,3.0000000000000004,2.3836801430396712,0,0,0,0,0.09161719612245624,0.3455218673785785,0,0.42146412765019287,1.8798421292276921,1.4298076852825101,1.1697956879385494,0.21314310965822486,0.166839118783516,0.13617424276746778,0.6316857549515207
2.759819518655792,2.2636733486855123,0.2850276472009881,0.4737131090611346,0.37765609151757085,0.1997163549385902,1.0000000000000002,1.1075123255958679,1.5370471500412168,2.6753035868851045,6.586096726696783,4.3149674108418345,3.9376199419997073,2.4525919622836225,1.9934332585994419,0.31671093783669396,0.6698506921146803,1.1967052263576612,3.2213152231610707,2.6404993629572777,0.5305623577211274,0.8736904705900435,0.7783371824470312,0.43306830234650795,0.7177822957023513,1.406093507878205,0,0.33640453043582047,1.835842209733503,2.7889395495278535,2.358637444113237,0.7907002168185235,0.6651065408699937,0.7697801244408669,2.7932813118986375
2.2363361624950895,1.9399382855703946,0.9201526681885538,1.533975280679336,1.3188689823949917,0.5710846456351337,1,0.7955394548341804,0,0.2056773069511634,1.1597608406951654,1.7754996809736159,2.052420186793537,3.110191279271728,2.626735690742875,1.1982223724349292,2.7805601245598335,2.854112167275892,3.1301135680662653,2.8938601548850085,2.24165182693037,3.1416835585507994,2.8095510958723655,1.5746185713420742,1.4981360723632116,0.9499955139754068,0,0,0.3892869760321817,1.7927827821973308,1.4919615634617003,0.41091323232272114,0.5839192135378526,1.2893834327445701,1.5942487652584063
2.30252399034107,1.8344506262004863,0,0,0.3653519988926012,1.6601071586169127,1.2259165269455765,1.06366679978852,0.4475771923008432,0.607999332130833,1.1752074793261311,1,0.7891521888838496,0,0.04613329687018835,0.5036440762229482,1.5688073072254993,1.2350105941903913,0,0.42985458666065135,1.5689793446014648,0,0,0,0.3451003497249179,1.239589692685123,0,0,0.17520205185465496,0.7966258553788741,1.0636739859446682,2,2,1.5538096709319242,0
0,0,0,0,0.16271164433805557,0.9402222094041911,1.5558544550366507,1.6047131335200329,1.780055078934033,1.7345871589374826,1.4904798958526229,1.2168130429296793,0.9553730648082208,0,0.2613277479781272,0.9968868481703617,0.21175297685242908,0.16503407165685655,0,0.3450989967853491,1.2379007480715702,0,0,0,0.04507437694228378,0.15816455300117757,0,0.13441168607342666,0.5565550584176788,0.39906246190103023,0.6675703405025037,1.6044584786838196,1.6949327646257641,1.5482159959605153,0
0,0,0,0,0,0,0.04677868184899942,0.3853822063560961,0.9999999999999999,0.7840539714543204,0.38662537757397697,1.7870303558128824,1.5374050667621657,0.632765203541938,0.9292674449164973,1.8266488255741273,1.2079097668285403,0.9867321085662836,0.20594171959730967,0.2503194584679757,0.36276645141597785,0.20304954560338118,0.24713854916761538,0.40232272174271255,0.6243646039127667,1.263635965140713,0.7935559226768404,1.2882951098756457,2.7295355366612144,1.8043115232163252,1.3952466613269179,0,0.36821815516669376,1.246131195659595,0
0,0,0,0,0.09391521684806058,0.43092313489806455,0.5532173202273358,1,1,0.8269634826693963,0.38382600144453316,1,1.3498321819951369,2.5858428566210905,2.4574250653859524,1.954395222923737,1.7959332836629291,1.6188863032718364,1,1.2244128262790013,1.8651226296496481,1.3984133528209437,1.577652557680392,2.197318562090731,2.3341889694972147,3.0319800271847512,3.80545371470255,3.4894347313400194,2.22864338014719,1.575537646361812,1.2990012425594804,0.38017108626817847,0.2910240057868348,0,0
0,0.04729751994135873,0.2148935206989142,0.21379377865939972,0.5128654530164145,1.5767634970383315,1.497373220006688,1.1165371088458953,0.7915851469857198,0.7926369751956582,0.793680817760172,0.7947166746935852,0.8415437518893794,1,1.1341075662000637,1.4173076664595547,0.7997761746148171,0.8459143667395306,1,1.1826775174685138,2.0317330011403065,2.804636033292992,2.850107352200172,3,2.7257526240759575,2.038827552208298,2.809296250592026,2.1599074556597047,0.8837369065397933,3.8119965530386963,3.434333127841668,2.1862431736313255,1.6744299822806694,0,0
0,0.17537317859983118,0.8360246912464427,1,0.8695955914984305,0.41555019019038253,0.677201820247787,1.2307800585348445,0,0.09207766763886986,0.31316399266157974,0,0.18196125519077033,0.8006072753408491,0.709120008945157,0.3043846599728387,0,0.18492315125096084,0.8055867330686636,0.8958262373459965,1.290170053943474,1.616957166913748,1.8509466790043465,2.6207331138467955,2.3764351296069366,1.7091102948286643,2.186861373058079,1.7608166871229818,0.8572773293360062,2.4475164860611924,2.5365720446654234,2.8175990363605066,2.2374597518559924,0.40417883991510056,0.5394616271359017
0,0,0.32058434862986507,1.412214926332902,1.4509683101592958,1.5921358034874156,1.2302200704456874,0.0923316408506247,0.4014578774605073,0.6752124283628942,1.2340075374825261,0,0.045390438676334036,0.19555004043904672,0.5228064538410875,1.2384231168137552,0,0,0,0.42344658158405035,1.4753234366161319,0.37535805179467735,0.4768943154635064,0.8142088771712257,1.3923336138633795,3.071295351844934,2.4509425313641375,2.259572913378808,1.291344685763469,0.18031905517550068,0.5709951496242985,1.8214410868414055,1.7797617840050486,1.8437950958102425,2.4720642355884985
