V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31
0,0,0,0,0,0,0,0.012327165049670323,0.0020514825151197956,0,0,1.0652148372896724,1.1485668430662255,1.959273036635168,0.29107187678859814,0.23011161872392,0.2573270337985053,1.9176569226831988,2,16.11255070941626,13.25471510447589,13.015855545488652,10.990067885563521,10.544594718725776,10.610867230388083,11.199505215067655,3.1094269793633496,1.7656276783559912,1.7073844466620374,1.9865672746751604,3.338803620309127
0,0,0,0,0,0,0,1.82177117605142,0.16902013155494078,0,0,2.692744818285518,2.929112055205321,2.077152268051735,2,2,1.7703315612164496,1.976959889416353,2,10.259369071296328,8.00862341739537,7.645996308432051,3.3700092528569234,2.080989102718494,2.488298494785639,2.5037766501176306,1.556412993071016,0.782237509553242,0.7107876118331456,1.3390320871568715,0.10761128382582748
0,0,0,0,0,0,0,5.053079837445254e-4,0,0,0,1.8079594629355233,2.067492653623519,2.0096582981048865,1.83316805504597,1.7834756601047919,0.2075932994243442,1.6447003900466757,1.850892216986347,9.350768579612215,3.1260023112517126,2.1900294924277413,2.367381727307005,2.4246355136733864,0.9649681814266049,0.7552898570173182,0.08540291448648024,0,0,0,0.2775511978583433
0,0,0,0,0,0,0,0,0,0,0,2.408157777172496,2.8077073560055643,2.052384876854261,0.2933680315968466,0,0,0.7352635363792895,0.8542901965946281,6.062128889764673,3.7546289045809065,2.5533581369794716,0.3632766179613928,2.668982298486433,0.46607444742178583,0,0,0,0,0,1.1144294309487963
0,0,0,0,0,0,0,0,0,0,0,0,0,0.7509036939032208,0.1720039320262023,0,0,0,0,5.562486896367048,4.5292626483106915,0.7469195483133317,0,0,0,0,0,0,0,0,1.3812393187412997
7.566304928056042,9.375507165688939,10.141707361756096,5.94688222623902,3.2757265598688203,0.6516441106623774,1.5119695413597147,0.44564623712368306,0.004454900446391597,0.01661877299864423,0.12377918140404809,0.049025425519787884,0,0,0,0,0,0,0.8640732659731826,5.1750809487116864,4.776359614168121,1.3866410984221558,0.5804634751189225,0.782770695841472,0.19524700496667266,0,0,0,0,0,1.4898093023402852
6.2734487436516595,5.731514831304962,3.4521404723679128,2.310055919437327,0.6844317144468909,2.1601074762957766,2.958366296840606,2.9656313881689145,1.5188587248616798,1.1058052546977948,4.078172561187928,1.5953574776015291,0.4852201000219305,0.6574782517098798,0.7506715402287314,0.8520940666213284,0.25131095635751205,0,6.041141270639747,8.149147173261134,6.555832001425826,3.9014695579852328,3.190088480768097,3.1897997376445515,0.8017691353559873,0,0,0,0,0.6389611420344715,2.9863974767761388
0.6706171902732583,3.060210512476992,1.3271856532579698,0.14262306126923763,0.03413512021521923,0.09368419975642435,0.09233233361910433,7.677097592182184,9.55912616542834,8.911505464585824,8.248632574737417,8.586591399188658,8.747405094833482,9.295532653871257,8.859211246829938,8.543593401489726,2.4815710630321766,0,5.620549715591335,7.834004348851257,6.165128424034718,4.187044921574733,3.6266213554999074,1.0488802701418762,0,0,0.1711885758815584,0.07414040745036685,0,1.5276865958086425,3.1628208988610385
1.7768084580752046,1.1628921498187135,0.1165132743073716,0,0,0,0,6.720484244126588,3.336747619750708,0,5.920161693709154,5.543776147314816,4,3.2874621602865686,3.697486582078989,3.7925375282097367,1.1777777464564771,0,0.8458224852426585,1.2847038504731438,2.448021736684416,2.212627973801407,1.8167096504930254,0.588652090783001,0.28379418913100357,0.4486097069892478,0.6687748889882638,0.24379390407931092,0,0,2.583251676240443
1.9886625302196879,3.041408263302589,1.325838372419313,0,0,0,0,5.738827363999129,3.2788098893235613,0,0,2.565585226238586,4.043730810893646,2.783478957097069,3.8014527602110513,1.7218955254220278,0,0,2.6323752650106913,4.250591217981708,3.49713565743051,1.6175963667029523,0.8201084374969286,0.29156079659300355,1.0125517793585401,1.5581907554191181,0.5527605388574859,0,0,0,0.8245877172865452
0.24386873090730748,0.34714729367476305,0.15176074780644347,0,0,0,0,0.14839475289501391,0.049827106354182395,0,0,2.92843917413032,4.798314979197994,3.6885852801809484,2.3164925145226762,0.7308154180401435,0,0,6.424547468327634,10.508868379877757,6.191281699495897,1.5808748095043788,0.35298592256261896,0.15083005687432188,0,0,0.5583622998473623,0.38798798791369216,0,0.32903335256648997,1.0892588110102779
0,0,0,0,0,0,0,0,0,0,0,0.03976039913812522,0.04797664590621899,1.6157232999664037,1.2147546098553699,0,0,0,0.5004952029291553,0.8678395540358379,3.611482749630414,3.5897701381399134,2,0.8633103294178244,0,0,2.2746547259139702,1.724926415893612,0.4355132252740961,1.638662039469514,0.9836333082463828
0,0.4699991517822227,0.4209949006133046,0,0.49178303578328386,0.43969304215688565,0,0,0,0,0,1.5647076674465916,1.3560308237901098,0,0,0,0,0,0,0,2.359822236568158,3.1523305953956706,2,0.9334215300010731,0.21017842272512774,0.42141008727149293,2.1040651474308953,1.8975192457768515,1.4327930621850495,2.20349497242994,1.0079276508424115
0,0.05891243996818711,0.052914969157044064,0,0.03882993604125795,0.032516566755341904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.347821012035413,4.2041786315129315,1.667403455668743,0.8229347883989874,1.0930834301985304,2.1039922823547856,2,1.7660247057694785,0.7537961519190071,0,0.9627931464762544
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5664360289085795,3.2123902013126364,0.4887012419379718,0.7750218471277488,2.442934280382068,3.556263906762016,3.0879588492215566,2.87272766407785,2.921918118164781,3.3630873521229576,5.3968612865411245
7.750151559891549,7.871415313086999,7.9927551301137765,8.114171010907425,4.714101809053915,0,0,0,0,0,0,0.07701716206167894,0.12034237087612455,0,0,0,0,0.1563572847329379,0.6443948827401362,1.0671696603224217,4.759523835064995,7.077295914454009,3.7975137077683714,5.224352216617709,8.777216999903043,11.38090397200689,11.926419949239842,12.978383151315683,14.686731685870772,15.552979815534982,13.170660171066581
