V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
24.002984993484098,30.724583779579177,33.13346748192535,37.29078608577069,41.625709431940834,17.086289913695595,5.705438117940453,5.267118544334618,1.187158577732792,0,7.8350312423317146,10.882137797593078,11.47919851702871,10.593244488587711,9.895319597181773,9.331318920721507,8.700206402519278,8.534131669778512,8.695515272771221,14.45125126449257,12.624810617297754,16.560992167348097,24.585801047964868,19.45122870301871
15.770845648452967,26.83018637750721,30.033274448995837,40.67692980195527,43.23325324103649,16.917961625651042,6.7238315732019975,4.84030309449472,1.034855167309785,0,7.264638355838482,11.409115207278763,10.682232651012363,11.153832265397739,12.001397248217078,10.803897686508808,7.783967516805733,7.474909457952226,7.432280559139821,15.50176345256914,16.54666921631641,20.416952630150867,20.40452409819196,18.724747928181397
15.364480026150584,15.35443943582573,15.480676555548026,26.62068058745939,28.916948319771556,14.152596986846383,9.176287395340756,5.653496144938764,1.1165925660181535,0,4.291908016954728,9.59277241321693,21.072019115191843,14.331129810921187,12.067539144936976,11.647161469163086,8.06973290324347,7.29172668976356,8.508037350513122,13.196630496831567,17.426713155489367,21.11775161514567,20.967132424212316,15.846084462655561
15.527058151182821,15.73681707419058,16,15.639646357173522,13.65973676927279,10.78207237576963,11.119084864498063,9.02734619024904,3.714185576399283,2.1679770324367764,1.5699875004296833,8.988830592635079,20.009350273216885,14.462141251541661,11.458155414842535,10.662698494475231,7.8761439825878305,7.000000000000001,15.701460272139908,14.697447650269801,16.78876442159362,18.558925884679766,18.216385789868138,17.758273331874065
21.296178166982205,16.113768210031125,15.999999999999998,14.571671613504137,12.19588534270892,10.77869456018528,11.59005532065959,11.275602481662027,7.469535202487563,3.025855216110747,0.49432568633784557,9.43425610235964,13.41229144831225,13.269429117131788,12.444860091170641,10.165296830383154,8.970702756876511,8.838129650209757,20.788437412059942,10.628505512298405,13.552034130976532,17.86519345121094,17.10654205387223,19.34185093452983
30.477072587722876,18.069805020242534,16.955747180773862,14.502621169297308,11.72631942659133,11.357831307873205,11.494385852955844,10.397013029923421,9.693287376607262,2.7846965335844516,0,8.848392047956644,14.757993558168156,15.727634933250382,14.209467110561254,11.167159845583251,10.9183046166281,11.223542039491175,31.0689617315506,20.6697768704012,16.172602200847194,16.662170914544426,8.84172264342341,6.396925568704275
34.7432297869218,34.25119750617945,35.16982622304503,21.920058299532485,12.86447910843872,11.498610779185492,12.217303678546516,11.173224819661455,10.50657086975869,3.1797947712315926,0,7.97149522363304,14.918656055088134,16.425059113917527,15.952664506901447,13.271410512242126,13.742145439919906,14.44332932207145,38.06831061650101,35.357978590972714,22.033179804965005,16.095486018138136,12.764490767620313,11.037475765663121
28.07076384799965,37.50581923886817,39.71982544438372,26.847508726798285,14.195764889076312,11.34028954315551,12.857140158189914,12.117697112502839,11.189999273457293,3.5276958327637202,0,5.985712553033347,12.537242771615523,26.425328146040748,21.85821419300129,13.862651813067023,28.003724702774242,35.5166021032718,45.254646961794634,44.77354176987032,41.281598370593464,32.02781507916062,26.56436359176327,22.776194028706872
17.10984037635689,19.708254447118975,19.72661353970872,19.160616611451623,12.705323423971349,10.496033601437347,11.64500563678954,11.320544385884368,12.019027083894857,4.174885046656799,0,3.5610282022550885,7.8076682207417285,20.89360234292556,18.99652402356959,14.25479763159382,24.63684384024041,29.73133573878812,42.38356082246545,47.996588209992666,49.099362002526355,44.62734871361732,40.15705812792154,37.48168920446095
21.334089041665347,14.765000282563271,13.151453220885095,12.067981694302961,10.057765749145913,9.651449973389767,10.31956459295034,10.819529018218509,11.27238313036709,3.9584184797228716,0,1.1643518340821273,3.7896360073450395,10.457857028985668,12.279190689199176,13.065658536689853,17.72455998994628,19.824051928414935,39.091320585580426,49.252024107209145,48.85390105341094,47.75510725236178,45.99447674096177,45.971308144461055
