V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1052638474853353,0.32900173929081217,0.20085273092755268,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6810153189918948,4.68106182451133,2.6377808487574472,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.544833870631855,4.320146564263638,2.49316134378307,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.06400918730991423,0.12705858207332002,0.0528584299625662,0,0,0,0,0,0,0,0,0
0,1.9409527006224736,2.3418674671456934,0.46713562205264486,0,0,0,0,0,0,3.0229384545872313,4.327428022608384,1.4019637015623585,0,0,0,0,0,0,0,0,0
0,3.9072040683296616,4.868301295621873,0.9758857536227178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2170420126360761,0.23638575472492224,0.03895073359622675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
