V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25846934609010236,0.9110714365490165,0.6681153896429467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.14800877983484761,0.5933585648473567,1.0079326710166387,2.118574940442072,2.1479670990936204,1.8364339810695343,1.7519676834774036,1.3510362471444461,0,0,0,0,0,1.420858255920713,5.112035930504388,3.6738409106876184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2788986818235842,3.3011346406928332,9.372484228089974,13.436095583234673,24.985334257450404,23.405655723590513,19.115385095777476,19.028305858989718,14.393081377034198,1.258139710389227,2.9229145917722517,2.9963713593169077,2.876953656476275,2.2500133171810206,0,0,0,0,1.0852167271733995,3.6739951014128716,1.5846034457032567,2.0620761952487867,2.627558419347597,0.3906359243625026,0.3003722208357223,0,0,0,0,0,0,0,0
0,4.951484444380624,19.291525550420634,14.126507322458593,10.724050112323264,0,0,6.265395703819963,26.400633460322044,21.531230830709916,10.302992571852133,23.177178202663793,23.0637912076016,23.24246949986178,18.409886852039758,3.0017686713510283,3.7878854047730304,3.8562693679945275,3.672890574776755,8.218766127680533,18.85937596202681,7.450065263099066,9.257271096235193,12.462360437033421,3.5317213666943488,3.438655274084385,3.0650823668191984,3.013182990939667,2.096396363219736,0.4474191701752824,0.5144424645537533,0.5432179444261035,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4.787113814557022,22.06538190868277,21.152159794552233,19.391721955595738,23.31608435067035,22.59094313777108,20.419538308136097,16.63519871371091,2.631621362827556,0,0.5318418780505489,3.687406861621332,8.123874550090733,8.924518172314826,11.99271416856436,12.184649380988857,11.639152840113237,5.737548017256526,5.382780363403914,3.3549212537195356,2.1536832848951586,2.475331116682915
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.782858774098739,14.381604006048676,14.895959873842434,12.814721339739464,5.07420302915087,6.881006076257651,7.5558418954712065
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
