V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1583930786422476,22.418773942605736,20.652653491553128,2.8419806957507134,2.5817147988031475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1933337141723507,2.7494473217604423,2.7034720517876147,1.6880874037009763,1.433774397278923,0.1713785338983306,0.14061360770730091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258122914587974,5.736091683675053,5.493960524146532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01157484967508247,0.5545269641314814,0.5048281777528495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8843763070891675,0.896549090094799,23.344325304251853,23.652538313409345,0.1391629311511553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25586225451595,10.17666655582731,11.569273721622013,11.515818468941124,0.3605092362786156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0719063472788006,2.181682692252647,1.1152085936544416,0.9919016315918707,0.053101732057137016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.357786636851799,1.4258932143715606,0.11680388098298336,0.009164886326350402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3.0389735787793204,4.967388747275753,7.349394939345281,0.8198920601656393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8.601393816434895,10.973727687171978,11.166982797664826,1.5067602219931837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8.374113184299269,10.044896070156039,18.655771900462256,6.908409257372334,4.289574392881443,0.6772336676607291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9.10390074726633,11.16737423979934,9.053173786313977,1.9481359702065855,0.44320718845175255,0.07865167085759989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.745617096877773,7.336106377408746,16.725292002810853,19.281770053221926,6.839985264554082,0.7337919460574918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.047459031067523,7.9765148607220855,6.316095843442769,5.757300610054417,10.527554409902951,11.9389875139767,3.1953605843592356,0.11585616912318206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10.297462732397825,14.043805601953647,7.016000289534711,4.44757148878408,14.886149214682538,18.705857665701437,7.506555860590563,3.4457602579244497,0.8891999566821953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7.909608141043876,11.018117895339406,6.95386309357508,5.366270451883309,8.160387485632386,9.171533553492548,2.8769189708077207,0.3703366298496736,0.1027352953091646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.702789469628613,3.599998717468117,2.0581371753953723,9.571722403772396,13.058787470475878,4.957818108771503,1.2160107497161827,0.3679109744737664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.9739399034430045,3.028432472776309,0,6.868342248921733,10.32082333242086,3.4706297400283432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
