V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2214694445212047,0.6973594589935049,0.02448979830006027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.37926584068844,12.878550881462614,1.6182738338901879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.347234748087962
11.923363791348892,37.487294543734706,15.85180083114639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.485633214401073
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40428520361120124
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.422741104831355,11.665312157749113,3.593087360293916,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.08459355184519,25.60539366604413,7.687653364058353,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.5446928085357923,0.548875617276727,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.4619127916238286,2.4486786262348916,0,0,0,0,0,0,0,0,0,0,0,0
0.15392585330334121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1481627949116535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5924957782733207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
