x,y,land_cover,site,cluster_label,grad_cam_value
0,0,Grass,0,0,0.0
1,0,Grass,0,0,0.0
2,0,Grass,0,0,0.0
3,0,Grass,0,0,0.0
4,0,Grass,0,0,0.0
5,0,Grass,0,0,0.0
6,0,Crops,0,0,0.0
7,0,Crops,0,0,0.0
8,0,Crops,0,0,0.0
9,0,Crops,0,0,0.0
10,0,Crops,0,0,0.0
11,0,Crops,0,0,0.0
12,0,Crops,0,0,0.0
13,0,Grass,0,0,0.0
14,0,Tree,0,0,0.0
15,0,Tree,0,0,0.0
16,0,Tree,0,0,0.0
17,0,Tree,0,0,0.0
18,0,Shrub,0,0,0.0
0,1,Grass,0,0,0.0
1,1,Grass,0,0,0.0
2,1,Grass,0,0,0.0
3,1,Grass,0,0,0.0
4,1,Crops,0,0,0.0
5,1,Crops,0,0,0.0
6,1,Crops,0,0,0.0
7,1,Crops,0,0,0.0
8,1,Crops,0,0,0.0
9,1,Crops,0,0,0.0
10,1,Crops,0,0,0.0
11,1,Crops,0,0,0.0
12,1,Crops,0,0,0.0
13,1,Crops,0,0,0.0
14,1,Built-Up,0,0,0.0
15,1,Tree,0,0,0.0
16,1,Tree,0,0,0.0
17,1,Tree,0,0,0.0
18,1,Tree,0,0,0.0
0,2,Tree,0,0,0.0
1,2,Tree,0,0,0.0
2,2,Grass,0,0,0.0
3,2,Crops,0,0,0.0
4,2,Crops,0,0,0.0
5,2,Crops,0,0,0.0
6,2,Crops,0,2,0.06014823168516159
7,2,Crops,0,0,0.0
8,2,Crops,0,0,0.0
9,2,Crops,0,0,0.0
10,2,Crops,0,0,0.0
11,2,Crops,0,0,0.0
12,2,Crops,0,0,0.0
13,2,Crops,0,3,0.5545872449874878
14,2,Built-Up,0,3,0.5248031616210938
15,2,Tree,0,3,0.6293684840202332
16,2,Tree,0,3,0.10221117734909058
17,2,Tree,0,3,0.03594431281089783
18,2,Tree,0,0,0.0
0,3,Tree,0,0,0.0
1,3,Tree,0,0,0.0
2,3,Grass,0,0,0.0
3,3,Crops,0,0,0.0
4,3,Crops,0,0,0.0
5,3,Crops,0,2,0.21075010299682617
6,3,Crops,0,2,0.05770581588149071
7,3,Crops,0,0,0.0
8,3,Crops,0,0,0.0
9,3,Crops,0,0,0.0
10,3,Crops,0,0,0.0
11,3,Crops,0,0,0.0
12,3,Crops,0,3,0.0633724257349968
13,3,Crops,0,3,0.7112681865692139
14,3,Crops,0,3,0.5655820369720459
15,3,Grass,0,3,0.5325097441673279
16,3,Tree,0,3,0.13217434287071228
17,3,Tree,0,3,0.04611845314502716
18,3,Tree,0,0,0.0
0,4,Tree,0,0,0.0
1,4,Shrub,0,0,0.0
2,4,Grass,0,0,0.0
3,4,Crops,0,0,0.0
4,4,Crops,0,0,0.0
5,4,Crops,0,0,0.0
6,4,Crops,0,0,0.0
7,4,Crops,0,0,0.0
8,4,Crops,0,0,0.0
9,4,Crops,0,0,0.0
10,4,Crops,0,0,0.0
11,4,Crops,0,0,0.0
12,4,Crops,0,3,0.08585989475250244
13,4,Crops,0,3,0.13451410830020905
14,4,Crops,0,3,0.20728056132793427
15,4,Crops,0,3,0.1459808498620987
16,4,Grass,0,0,0.0
17,4,Tree,0,0,0.0
18,4,Tree,0,0,0.0
0,5,Shrub,0,0,0.0
1,5,Shrub,0,0,0.0
2,5,Grass,0,0,0.0
3,5,Grass,0,0,0.0
4,5,Grass,0,0,0.0
5,5,Grass,0,0,0.0
6,5,Grass,0,0,0.0
7,5,Grass,0,0,0.0
8,5,Grass,0,0,0.0
9,5,Grass,0,0,0.0
10,5,Grass,0,0,0.0
11,5,Grass,0,0,0.0
12,5,Crops,0,3,0.0470624603331089
13,5,Crops,0,3,0.07038037478923798
14,5,Crops,0,0,0.0
15,5,Crops,0,0,0.0
16,5,Grass,0,0,0.0
17,5,Tree,0,0,0.0
18,5,Tree,0,0,0.0
0,6,Tree,0,0,0.0
1,6,Tree,0,0,0.0
2,6,Grass,0,0,0.0
3,6,Grass,0,0,0.0
4,6,Grass,0,0,0.0
5,6,Grass,0,0,0.0
6,6,Grass,0,3,0.01597844995558262
7,6,Grass,0,0,0.0
8,6,Grass,0,0,0.0
9,6,Tree,0,0,0.0
10,6,Grass,0,0,0.0
11,6,Grass,0,3,0.09934486448764801
12,6,Crops,0,3,0.08193651586771011
13,6,Crops,0,0,0.0
14,6,Crops,0,0,0.0
15,6,Crops,0,0,0.0
16,6,Crops,0,0,0.0
17,6,Tree,0,0,0.0
18,6,Tree,0,0,0.0
0,7,Tree,0,0,0.0
1,7,Tree,0,0,0.0
2,7,Grass,0,0,0.0
3,7,Grass,0,0,0.0
4,7,Grass,0,0,0.0
5,7,Grass,0,0,0.0
6,7,Grass,0,3,0.1868908405303955
7,7,Grass,0,3,0.13658089935779572
8,7,Grass,0,3,0.2797069549560547
9,7,Grass,0,3,0.1461246758699417
10,7,Crops,0,0,0.0
11,7,Crops,0,3,0.16737216711044312
12,7,Crops,0,3,0.04166802391409874
13,7,Crops,0,0,0.0
14,7,Crops,0,0,0.0
15,7,Crops,0,0,0.0
16,7,Crops,0,0,0.0
17,7,Tree,0,0,0.0
18,7,Tree,0,0,0.0
0,8,Tree,0,0,0.0
1,8,Tree,0,0,0.0
2,8,Tree,0,0,0.0
3,8,Grass,0,0,0.0
4,8,Grass,0,0,0.0
5,8,Grass,0,0,0.0
6,8,Grass,0,0,0.0
7,8,Grass,0,3,0.1454450786113739
8,8,Grass,0,3,0.603091835975647
9,8,Crops,0,3,0.40618523955345154
10,8,Crops,0,3,0.5302504301071167
11,8,Crops,0,3,0.3328797519207001
12,8,Crops,0,3,0.2785995900630951
13,8,Crops,0,3,0.003532912116497755
14,8,Crops,0,0,0.0
15,8,Crops,0,0,0.0
16,8,Crops,0,0,0.0
17,8,Built-Up,0,0,0.0
18,8,Tree,0,0,0.0
0,9,Tree,0,0,0.0
1,9,Tree,0,0,0.0
2,9,Tree,0,0,0.0
