study_id,site_id,latitude,longitude,sampling_year,sampling_start_month,sampling_end_month,old_site_id,year_copernicus
Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,Plot_45,-1.46283328533173,120.313636779785,2000-2001,10,7,17,2015
Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,Plot_46,-1.46106672286987,120.312347412109,2000-2001,10,7,18,2015
Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,Plot_47,-1.39013338088989,120.315200805664,2000-2001,10,7,19,2015
Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,Plot_48,-1.39849996566772,120.326629638672,2000-2001,10,7,20,2015
Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,Plot_49,-1.40248334407806,120.34058380127,2000-2001,10,7,21,2015
Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,Plot_50,-1.41196668148041,120.311965942383,2000-2001,10,7,22,2015
Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,Plot_51,-1.39806663990021,120.328948974609,2000-2001,10,7,23,2015
Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,Plot_52,-1.42435002326965,120.359436035156,2000-2001,10,7,24,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_53,-1.47777771949768,120.348480224609,2000-2001,10,7,1,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_54,-1.40625,120.357147216797,2000-2001,10,7,6,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_55,-1.41041672229767,120.305870056152,2000-2001,10,7,7,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_56,-1.42980003356934,120.312019348145,2000-2001,10,7,8,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_57,-1.42883336544037,120.306999206543,2000-2001,10,7,9,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_58,-1.40456664562225,120.349014282227,2000-2001,10,7,10,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_59,-1.4412499666214,120.308334350586,2000-2001,10,7,12,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_60,-1.41308331489563,120.345634460449,2000-2001,10,7,14,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_61,-1.43859994411469,120.307067871094,2000-2001,10,7,16,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_62,-1.46106672286987,120.312347412109,2000-2001,10,7,18,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_63,-1.39013338088989,120.315200805664,2000-2001,10,7,19,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_64,-1.39849996566772,120.326629638672,2000-2001,10,7,20,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_65,-1.40248334407806,120.34058380127,2000-2001,10,7,21,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_66,-1.39806663990021,120.328948974609,2000-2001,10,7,23,2015
Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,Plot_67,-1.42435002326965,120.359436035156,2000-2001,10,7,24,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_68,38.9252911437503,-122.068090353596,2008,2,3,Abele,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_69,38.9353685460705,-121.999833407943,2008,2,3,Banes,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_70,38.7258248221338,-122.01146493328,2008,2,3,Barth,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_71,38.8910910498556,-122.229448079129,2008,2,3,Bramlett,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_72,38.9029957375903,-121.970524471778,2008,2,3,Cotters,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_73,38.764402238305,-122.159695024586,2008,3,3,Etters,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_74,38.8700469835644,-122.230514053249,2008,2,2,Fullbelly,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_75,39.0508200265341,-122.160076791978,2008,2,3,KB 1,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_76,39.0833445470705,-122.179251071592,2008,3,3,KB 2,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_77,39.0077624566996,-122.099299819183,2008,2,3,Lauwerijssen,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_78,38.9033558925554,-122.241829261132,2008,2,2,Lowrey,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_79,38.9608180599007,-121.986377580933,2008,2,3,Miller,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_80,38.96204762474,-122.075865193839,2008,2,3,Nickels,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_81,38.9254010267764,-122.030520426771,2008,2,3,Peart,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_82,38.7031780413985,-121.955222891075,2008,2,3,Scheuring,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_83,38.9546397671803,-122.062864505063,2008,2,3,Scofield 1,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_84,38.9135438382228,-122.039407988823,2008,2,3,Scofield 2,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_85,38.6995902992038,-122.110097128339,2008,2,3,Taber,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_86,38.7798940585472,-122.169675982595,2008,3,3,TMueller 1,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_87,38.8108052061428,-122.18079576817,2008,3,3,TMueller 2,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_88,39.0072476,-122.1334631,2008,2,3,TNP 1,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_89,38.9972606,-122.0596218,2008,2,3,TNP 2,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Plot_90,38.8973999,-122.0648183,2008,2,3,TNP 3,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_91,38.7246236,-122.0091204,2009,2,2,Barth,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_92,38.8905338,-122.2290552,2009,2,2,Bramlett,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_93,38.7679852,-122.1633011,2009,3,3,Etters,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_94,38.8708174,-122.2289264,2009,2,2,Full Belly,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_95,38.9016493,-122.2408052,2009,2,2,Laury,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_96,39.0062838,-122.0967143,2009,2,2,Lauwerjissen,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_97,38.7024385,-121.9547633,2009,2,2,Scheuring,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_98,38.9529857,-122.0592857,2009,2,2,Scofield 1,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_99,38.911686,-122.0382642,2009,2,2,Scofield 2,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_100,39.0072476,-122.1334631,2009,2,2,T&P1,2015
