system:index,bio05,bio08,bio14,sampling_year,site_id,study_id,year,.geo
000000000000000004d3,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,1,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.34847980827641,-1.4777773028193382]}"
000000000000000004d4,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,2,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.34383342497871,-1.4133343743949383]}"
000000000000000004d5,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,3,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.35635458073679,-1.4346979275419975]}"
000000000000000004d6,306.4223327636719,305.36370849609375,2.6213854198431363E-6,1,4,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.35635458073679,-10.431732481957622]}"
000000000000000004d7,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,5,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.3571483007243,-1.424401863209591]}"
000000000000000004d8,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,6,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.3571483007243,-1.4062488628210126]}"
000000000000000004d9,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,7,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.30586863860968,-1.4104181223059848]}"
000000000000000004da,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,8,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.3120177389624,-1.4298018345853143]}"
000000000000000004db,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,9,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.30700125027725,-1.4288342096567164]}"
000000000000000004dc,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,10,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.34901490040284,-1.4045677817238635]}"
000000000000000004dd,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,11,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.30701462758043,-1.4424344678697263]}"
000000000000000004de,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,12,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.30833452149221,-1.4412483469895097]}"
000000000000000004df,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,13,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.36121500088505,-1.4247853459001871]}"
000000000000000004e0,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,14,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.3456349018043,-1.4130846647359454]}"
000000000000000004e1,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,15,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.35015197117144,-1.410649995560764]}"
000000000000000004e2,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,16,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.30706813679306,-1.438599640963763]}"
000000000000000004e3,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,17,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.3136363926448,-1.462834855189241]}"
000000000000000004e4,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,18,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.31234771244031,-1.461064592071023]}"
000000000000000004e5,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,19,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.31520153711455,-1.3901336716138595]}"
000000000000000004e6,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,20,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.32663021311453,-1.398498945190124]}"
000000000000000004e7,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,21,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.34058274031075,-1.4024853815319043]}"
000000000000000004e8,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,22,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.31196422974976,-1.4119654303715308]}"
000000000000000004e9,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,23,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.32894894566232,-1.3980664123879394]}"
000000000000000004ea,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,24,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.35943581956472,-1.42434835399695]}"
000000000000000004eb,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,1,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.34847980827641,-1.4777773028193382]}"
000000000000000004ec,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,6,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.3571483007243,-1.4062488628210126]}"
000000000000000004ed,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,7,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.30586863860968,-1.4104181223059848]}"
000000000000000004ee,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,8,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.3120177389624,-1.4298018345853143]}"
000000000000000004ef,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,9,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.30700125027725,-1.4288342096567164]}"
000000000000000004f0,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,10,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.34901490040284,-1.4045677817238635]}"
000000000000000004f1,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,12,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.30833452149221,-1.4412483469895097]}"
000000000000000004f2,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,14,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.3456349018043,-1.4130846647359454]}"
000000000000000004f3,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,16,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.30706813679306,-1.438599640963763]}"
000000000000000004f4,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,18,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.31234771244031,-1.461064592071023]}"
000000000000000004f5,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,19,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.31520153711455,-1.3901336716138595]}"
000000000000000004f6,302.4230041503906,301.1905822753906,4.18027448176872E-5,1,20,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001,2050,"{""type"":""Point"",""coordinates"":[120.32663021311453,-1.398498945190124]}"
